,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.debt,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investments,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.investmentsAcqDisposals,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.intexp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.taxExp,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.ebt,statementData.incomeStatement.opex,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-10-02 00:00:00+00:00,1,2021,2644000000.0,1282000000.0,3994000000.0,4868000000.0,257461532.0,4138000000.0,25000000.0,1821000000.0,7041000000.0,4397000000.0,2167000000.0,1795000000.0,866000000.0,4163000000.0,-4947000000.0,0.0,1664000000.0,8862000000.0,0.0,0.0,0.0,-46000000.0,1323000000.0,0.0,1125000000.0,,-251000000.0,99000000.0,297000000.0,-104000000.0,28000000.0,-58000000.0,0.0,186000000.0,-13000000.0,-111000000.0,-39000000.0,-167000000.0,0.0,7000000.0,223000000.0,251000000.0,0.0,257000000.0,271000000.0,0.0,50000000.0,596000000.0,259000000.0,0.87,0.0,370000000.0,0.86,1718000000.0,-2000000.0,223000000.0,2314000000.0,118000000.0,223000000.0,223000000.0,221000000.0,345000000.0,5.0,-0.102404965089216,0.257562662057044,1.51059001512859,1821000000.0,0.257562662057044,8.98775044964776,0.16,2.2723778143877,0.568188105117566,7.07290128297691,0.115545804854724
1,2020-07-03 00:00:00+00:00,4,2020,2722000000.0,1295000000.0,4114000000.0,4816000000.0,256624915.0,4156000000.0,19000000.0,1787000000.0,7143000000.0,4421000000.0,2129000000.0,1808000000.0,1115000000.0,4175000000.0,-4904000000.0,0.0,1722000000.0,8930000000.0,0.0,0.0,0.0,-66000000.0,1142000000.0,0.0,1120000000.0,,-177000000.0,100000000.0,388000000.0,-108000000.0,29000000.0,110000000.0,7000000.0,274000000.0,44000000.0,-114000000.0,-52000000.0,-168000000.0,0.0,6000000.0,166000000.0,267000000.0,0.0,259000000.0,209000000.0,0.0,49000000.0,667000000.0,262000000.0,0.64,0.0,309000000.0,0.64,1850000000.0,-6000000.0,222000000.0,2517000000.0,112000000.0,166000000.0,166000000.0,160000000.0,400000000.0,6.0,0.0615773935048503,0.264998013508145,1.5113886847906,1787000000.0,0.264998013508145,9.80808897686337,-0.817663817663818,2.32568550643537,0.559409388494219,6.96347040192882,0.113353467498377
3,2020-04-03 00:00:00+00:00,3,2020,2690000000.0,1307000000.0,4015000000.0,4814000000.0,260956046.0,4091000000.0,12000000.0,1792000000.0,7037000000.0,4347000000.0,2093000000.0,1830000000.0,1160000000.0,4103000000.0,-4866000000.0,0.0,1612000000.0,8829000000.0,0.0,0.0,0.0,-67000000.0,1102000000.0,3000000.0,1112000000.0,,-374000000.0,94000000.0,390000000.0,-142000000.0,27000000.0,-132000000.0,-6000000.0,260000000.0,-40000000.0,-130000000.0,-164000000.0,-170000000.0,0.0,-12000000.0,320000000.0,376000000.0,0.0,261000000.0,387000000.0,0.0,49000000.0,746000000.0,263000000.0,1.23,0.0,481000000.0,1.22,1972000000.0,18000000.0,246000000.0,2718000000.0,119000000.0,320000000.0,320000000.0,338000000.0,370000000.0,8.0,0.175097276264591,0.274466519499632,1.49256505576208,1792000000.0,0.274466519499632,10.4155471454377,0.782608695652174,2.28292410714286,0.964257347100874,6.86705683761012,0.205855754013113
4,2020-01-03 00:00:00+00:00,2,2020,2700000000.0,1320000000.0,4152000000.0,4780000000.0,262711116.0,4135000000.0,6000000.0,1830000000.0,7102000000.0,4402000000.0,2049000000.0,1870000000.0,1112000000.0,4141000000.0,-4804000000.0,0.0,1744000000.0,8932000000.0,0.0,0.0,0.0,-33000000.0,1148000000.0,3000000.0,1119000000.0,,-289000000.0,93000000.0,480000000.0,-234000000.0,27000000.0,-40000000.0,3000000.0,287000000.0,0.0,-193000000.0,-120000000.0,-165000000.0,0.0,-41000000.0,318000000.0,384000000.0,0.0,262000000.0,384000000.0,0.0,48000000.0,758000000.0,265000000.0,1.21,0.0,477000000.0,1.2,1938000000.0,18000000.0,250000000.0,2696000000.0,120000000.0,318000000.0,318000000.0,336000000.0,374000000.0,7.0,-0.0069981583793739,0.281157270029674,1.53777777777778,1830000000.0,0.281157270029674,10.2622227831425,-0.103703703703704,2.25956284153005,0.910481814521541,6.96582629567909,0.192995931836932
5,2019-10-04 00:00:00+00:00,1,2020,2549000000.0,1334000000.0,4031000000.0,4707000000.0,269037767.0,4140000000.0,0.0,1770000000.0,6968000000.0,4419000000.0,1991000000.0,1750000000.0,1065000000.0,4140000000.0,-4800000000.0,0.0,1784000000.0,8738000000.0,0.0,0.0,0.0,-40000000.0,1041000000.0,3000000.0,1128000000.0,,-765000000.0,92000000.0,456000000.0,-151000000.0,26000000.0,-465000000.0,-5000000.0,309000000.0,-147000000.0,-147000000.0,-411000000.0,-170000000.0,0.0,-4000000.0,200000000.0,273000000.0,0.0,266000000.0,253000000.0,0.0,55000000.0,671000000.0,270000000.0,0.75,0.0,345000000.0,0.74,1907000000.0,-2000000.0,255000000.0,2578000000.0,122000000.0,200000000.0,200000000.0,198000000.0,398000000.0,5.0,-0.138080909394851,0.260279286268425,1.5814044723421,1770000000.0,0.260279286268425,9.5822977894401,-0.522292993630573,2.33898305084746,0.932892124420913,6.57900197335492,0.201325411334552
6,2019-06-28 00:00:00+00:00,4,2019,2232000000.0,1348000000.0,4363000000.0,4522000000.0,276842805.0,4253000000.0,0.0,2162000000.0,6723000000.0,4491000000.0,1869000000.0,1420000000.0,989000000.0,4253000000.0,-4349000000.0,0.0,2220000000.0,8885000000.0,0.0,0.0,0.0,-34000000.0,970000000.0,4000000.0,1114000000.0,0.0,-795000000.0,134000000.0,448000000.0,1205000000.0,26000000.0,860000000.0,2000000.0,411000000.0,-271000000.0,-37000000.0,-349000000.0,-174000000.0,0.0,1279000000.0,983000000.0,332000000.0,0.0,276000000.0,346000000.0,0.0,55000000.0,624000000.0,276000000.0,3.51,0.0,480000000.0,3.49,1747000000.0,-692000000.0,241000000.0,2371000000.0,108000000.0,983000000.0,983000000.0,291000000.0,292000000.0,6.0,-0.163668430335097,0.263180092787853,1.95474910394265,2162000000.0,0.263180092787853,8.56442702204235,1.19375,1.96716003700278,1.05464552483292,7.80948596442664,0.224503459049319
8,2019-03-29 00:00:00+00:00,3,2019,2146000000.0,1366000000.0,3487000000.0,5109000000.0,281740077.0,4522000000.0,0.0,1689000000.0,6907000000.0,4761000000.0,1822000000.0,1310000000.0,897000000.0,4522000000.0,-4808000000.0,0.0,1388000000.0,8596000000.0,1318000000.0,0.0,0.0,-21000000.0,1001000000.0,5000000.0,416000000.0,1318000000.0,-276000000.0,135000000.0,438000000.0,-129000000.0,28000000.0,31000000.0,-2000000.0,315000000.0,196000000.0,-123000000.0,-294000000.0,-178000000.0,0.0,-6000000.0,195000000.0,236000000.0,0.0,281000000.0,270000000.0,0.0,55000000.0,601000000.0,284000000.0,0.69,0.0,405000000.0,0.69,1712000000.0,20000000.0,238000000.0,2313000000.0,110000000.0,195000000.0,195000000.0,215000000.0,365000000.0,5.0,-0.174812700677845,0.259835711197579,1.62488350419385,1689000000.0,0.259835711197579,8.2096946399287,-0.481203007518797,2.67732386027235,0.835435940566302,5.99488726625144,0.163857806614797
9,2018-12-28 00:00:00+00:00,2,2019,2300000000.0,1386000000.0,3676000000.0,5113000000.0,286201437.0,4324000000.0,0.0,1934000000.0,6855000000.0,4555000000.0,1823000000.0,1442000000.0,1058000000.0,4324000000.0,-4502000000.0,0.0,1357000000.0,8789000000.0,1300000000.0,0.0,0.0,-21000000.0,1097000000.0,6000000.0,416000000.0,1300000000.0,-815000000.0,138000000.0,288000000.0,-54000000.0,27000000.0,-585000000.0,-4000000.0,161000000.0,-499000000.0,-127000000.0,-133000000.0,-180000000.0,0.0,7000000.0,384000000.0,416000000.0,0.0,285000000.0,454000000.0,0.0,56000000.0,794000000.0,287000000.0,1.35,0.0,592000000.0,1.34,1921000000.0,14000000.0,246000000.0,2715000000.0,120000000.0,384000000.0,384000000.0,398000000.0,378000000.0,6.0,-0.0682910089224433,0.292449355432781,1.59826086956522,1934000000.0,0.292449355432781,9.48632553511602,1.45454545454545,2.23578076525336,0.984579233367602,6.75747830015263,0.182228383484194
10,2018-09-28 00:00:00+00:00,1,2019,3175000000.0,1406000000.0,4523000000.0,5055000000.0,287184721.0,4322000000.0,499000000.0,1846000000.0,7732000000.0,4557000000.0,1789000000.0,1776000000.0,1202000000.0,4821000000.0,-4569000000.0,0.0,1942000000.0,9578000000.0,1259000000.0,0.0,0.0,-12000000.0,1116000000.0,11000000.0,416000000.0,1259000000.0,-326000000.0,134000000.0,587000000.0,-176000000.0,18000000.0,88000000.0,3000000.0,416000000.0,0.0,-171000000.0,-118000000.0,-181000000.0,0.0,-5000000.0,450000000.0,503000000.0,0.0,287000000.0,526000000.0,0.0,58000000.0,913000000.0,292000000.0,1.57,0.0,660000000.0,1.54,2078000000.0,18000000.0,266000000.0,2991000000.0,115000000.0,450000000.0,450000000.0,468000000.0,410000000.0,8.0,0.136398176291793,0.305249080575059,1.42456692913386,1846000000.0,0.305249080575059,10.4148994751013,1.53225806451613,2.34127843986999,0.977762803234501,6.42791856604377,0.157931972789116
11,2018-06-29 00:00:00+00:00,4,2018,3190000000.0,1425000000.0,4310000000.0,5100000000.0,287062166.0,4320000000.0,499000000.0,1665000000.0,7745000000.0,4555000000.0,1792000000.0,1728000000.0,1184000000.0,4819000000.0,-4696000000.0,0.0,1853000000.0,9410000000.0,1275000000.0,0.0,0.0,-16000000.0,1053000000.0,10000000.0,417000000.0,1275000000.0,-184000000.0,137000000.0,468000000.0,-1349000000.0,27000000.0,-1073000000.0,-8000000.0,398000000.0,-5000000.0,-70000000.0,3000000.0,-181000000.0,0.0,-1277000000.0,461000000.0,505000000.0,0.0,288000000.0,520000000.0,0.0,54000000.0,904000000.0,295000000.0,1.6,0.0,657000000.0,1.57,1931000000.0,5000000.0,259000000.0,2835000000.0,140000000.0,461000000.0,461000000.0,466000000.0,399000000.0,7.0,0.178304239401496,0.318871252204586,1.35109717868339,1665000000.0,0.318871252204586,9.87590959652969,3.1025641025641,2.59459459459459,0.886721680420105,5.80013738208887,0.130868024800709
