,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,4,2020,7218000000.0,740000000.0,3374000000.0,61000000.0,566000000.0,606000000.0,61000000.0,3921000000.0,2536000000.0,2840000000.0,64000000.0,1756000000.0,3844000000.0,1981000000.0,1898000000.0,-599000000.0,777000000.0,757000000.0,0.0,224000000.0,1081000000.0,187139371.0,0.0,1938000000.0,3297000000.0,43000000.0,-30000000.0,-63000000.0,308000000.0,-215000000.0,338000000.0,0.0,0.0,0.0,20000000.0,-33000000.0,64000000.0,-214000000.0,4000000.0,87000000.0,278000000.0,217000000.0,187000000.0,186000000.0,19000000.0,193000000.0,217000000.0,756000000.0,1.16,0.0,285000000.0,0.0,49000000.0,478000000.0,0.0,217000000.0,1220000000.0,1.15,372000000.0,266000000.0,287000000.0,464000000.0,0.0896450655895915,0.0892857142857142,3297000000.0,3.12118408880666,0.115384615384615,0.619672131147541,6.51920541081652,0.587807097361237,0.619672131147541,17.617885442182,6.0,0.194977843426883
2,2020-07-31 00:00:00+00:00,3,2020,7161000000.0,746000000.0,3278000000.0,62000000.0,559000000.0,569000000.0,62000000.0,3807000000.0,2319000000.0,2827000000.0,40000000.0,1697000000.0,3883000000.0,1987000000.0,1929000000.0,-520000000.0,771000000.0,778000000.0,0.0,193000000.0,980000000.0,187037035.0,0.0,1944000000.0,3354000000.0,43000000.0,-32000000.0,-351000000.0,151000000.0,22000000.0,183000000.0,0.0,-7000000.0,0.0,18000000.0,-319000000.0,-140000000.0,31000000.0,6000000.0,80000000.0,182000000.0,176000000.0,187000000.0,190000000.0,20000000.0,169000000.0,176000000.0,606000000.0,0.94,0.0,205000000.0,0.0,9000000.0,424000000.0,0.0,176000000.0,1011000000.0,0.93,285000000.0,185000000.0,259000000.0,405000000.0,0.0883792272295669,-0.0699172033118676,3354000000.0,3.34489795918367,0.105882352941177,0.599406528189911,5.40534659352358,0.579606440071556,0.599406528189911,17.9322774230248,7.0,0.192521877486078
3,2020-04-30 00:00:00+00:00,2,2020,6757000000.0,726000000.0,3293000000.0,57000000.0,558000000.0,485000000.0,57000000.0,3672000000.0,2143000000.0,2723000000.0,25000000.0,1841000000.0,3464000000.0,1950000000.0,1599000000.0,-567000000.0,728000000.0,756000000.0,0.0,182000000.0,949000000.0,187395353.0,0.0,1912000000.0,3085000000.0,38000000.0,-23000000.0,-23000000.0,275000000.0,-121000000.0,298000000.0,0.0,0.0,0.0,15000000.0,0.0,150000000.0,-120000000.0,-4000000.0,79000000.0,102000000.0,71000000.0,187000000.0,189000000.0,20000000.0,166000000.0,71000000.0,516000000.0,0.38,0.0,128000000.0,0.0,37000000.0,414000000.0,0.0,71000000.0,895000000.0,0.37,207000000.0,108000000.0,251000000.0,379000000.0,0.0885242199555873,-0.178899082568807,3085000000.0,3.46996838777661,-0.530864197530864,0.576536312849162,4.77599890110402,0.619773095623987,0.576536312849162,16.4625213518502,5.0,0.193516537765345
4,2020-01-31 00:00:00+00:00,1,2020,6841000000.0,737000000.0,3326000000.0,48000000.0,539000000.0,670000000.0,48000000.0,3714000000.0,2072000000.0,2732000000.0,51000000.0,1691000000.0,3515000000.0,1952000000.0,1650000000.0,-561000000.0,733000000.0,737000000.0,0.0,224000000.0,982000000.0,188447566.0,0.0,1916000000.0,3127000000.0,36000000.0,-32000000.0,-5000000.0,165000000.0,-99000000.0,197000000.0,0.0,0.0,0.0,39000000.0,-5000000.0,93000000.0,-50000000.0,0.0,80000000.0,203000000.0,163000000.0,188000000.0,191000000.0,19000000.0,187000000.0,163000000.0,655000000.0,0.87,0.0,221000000.0,0.0,39000000.0,452000000.0,0.0,163000000.0,1095000000.0,0.86,301000000.0,202000000.0,300000000.0,440000000.0,0.103068994692716,0.088469184890656,3127000000.0,3.38696537678208,0.426229508196721,0.598173515981735,5.81063487973095,0.612727854173329,0.598173515981735,16.5934751314326,7.0,0.225836352911435
5,2019-10-31 00:00:00+00:00,4,2019,6623000000.0,755000000.0,3215000000.0,46000000.0,510000000.0,668000000.0,46000000.0,3619000000.0,1909000000.0,2616000000.0,55000000.0,1598000000.0,3408000000.0,1788000000.0,1699000000.0,-578000000.0,576000000.0,705000000.0,0.0,253000000.0,1003000000.0,187577953.0,0.0,1788000000.0,3004000000.0,0.0,-30000000.0,-27000000.0,233000000.0,-31000000.0,263000000.0,0.0,-4000000.0,0.0,16000000.0,4000000.0,204000000.0,-27000000.0,-1000000.0,79000000.0,208000000.0,195000000.0,188000000.0,191000000.0,20000000.0,176000000.0,195000000.0,665000000.0,1.04,0.0,223000000.0,0.0,8000000.0,457000000.0,0.0,195000000.0,1120000000.0,1.02,302000000.0,203000000.0,286000000.0,455000000.0,0.0988106129917658,0.0697230181470869,3004000000.0,3.20538384845464,-2.70491803278689,0.59375,5.97085095602893,0.595206391478029,0.59375,16.0146752427776,7.0,0.217932970696613
7,2019-07-31 00:00:00+00:00,3,2019,6348000000.0,703000000.0,2935000000.0,46000000.0,501000000.0,618000000.0,46000000.0,3410000000.0,1714000000.0,1978000000.0,48000000.0,1394000000.0,3413000000.0,1792000000.0,1755000000.0,-460000000.0,568000000.0,696000000.0,0.0,247000000.0,1432000000.0,188170970.0,0.0,1292000000.0,2938000000.0,500000000.0,-30000000.0,-120000000.0,244000000.0,-37000000.0,274000000.0,0.0,0.0,0.0,16000000.0,-92000000.0,116000000.0,-35000000.0,-1000000.0,78000000.0,197000000.0,159000000.0,188000000.0,191000000.0,20000000.0,168000000.0,159000000.0,643000000.0,0.85,0.0,219000000.0,0.0,40000000.0,446000000.0,0.0,159000000.0,1087000000.0,0.83,297000000.0,199000000.0,281000000.0,444000000.0,0.0512736236647494,0.0826693227091633,2938000000.0,2.04958100558659,0.328125,0.591536338546458,5.77666151160299,0.439754935330157,0.591536338546458,15.613460460984,8.0,0.115267387087836
8,2019-04-30 00:00:00+00:00,2,2019,6190000000.0,727000000.0,2824000000.0,42000000.0,483000000.0,660000000.0,42000000.0,3392000000.0,1555000000.0,1907000000.0,61000000.0,1277000000.0,3366000000.0,1792000000.0,1717000000.0,-461000000.0,563000000.0,660000000.0,0.0,236000000.0,1485000000.0,187988723.0,0.0,1292000000.0,2798000000.0,500000000.0,-29000000.0,-20000000.0,192000000.0,-21000000.0,221000000.0,7000000.0,0.0,0.0,23000000.0,0.0,178000000.0,-20000000.0,-2000000.0,75000000.0,185000000.0,153000000.0,188000000.0,191000000.0,20000000.0,171000000.0,153000000.0,648000000.0,0.81,0.0,213000000.0,0.0,40000000.0,463000000.0,0.0,153000000.0,1090000000.0,0.8,288000000.0,193000000.0,300000000.0,442000000.0,0.0459770114942529,0.101010101010101,2798000000.0,1.9016835016835,1.38235294117647,0.594495412844037,5.79822014110921,0.461758398856326,0.594495412844037,14.8838715181868,8.0,0.104361074081127
9,2019-01-31 00:00:00+00:00,1,2019,5978000000.0,741000000.0,2544000000.0,52000000.0,443000000.0,580000000.0,52000000.0,3320000000.0,1402000000.0,1920000000.0,56000000.0,1098000000.0,3434000000.0,1790000000.0,1775000000.0,-449000000.0,558000000.0,641000000.0,0.0,222000000.0,1400000000.0,187641764.0,0.0,1291000000.0,2658000000.0,499000000.0,-31000000.0,-29000000.0,209000000.0,-33000000.0,240000000.0,0.0,0.0,0.0,27000000.0,2000000.0,185000000.0,-10000000.0,7000000.0,76000000.0,121000000.0,114000000.0,187000000.0,190000000.0,20000000.0,173000000.0,114000000.0,578000000.0,0.61,0.0,140000000.0,0.0,6000000.0,457000000.0,0.0,114000000.0,1006000000.0,0.6,216000000.0,120000000.0,288000000.0,428000000.0,0.0313945102032158,0.201911589008363,2658000000.0,1.81714285714286,0.22,0.57455268389662,5.36127980549149,0.485703536493604,0.57455268389662,14.1652899830978,8.0,0.0723574850884913
10,2018-10-31 00:00:00+00:00,4,2018,5824000000.0,750000000.0,2378000000.0,46000000.0,461000000.0,624000000.0,46000000.0,3391000000.0,1212000000.0,1929000000.0,42000000.0,913000000.0,3446000000.0,1790000000.0,1816000000.0,-488000000.0,555000000.0,619000000.0,0.0,242000000.0,1462000000.0,187428054.0,0.0,1291000000.0,2433000000.0,499000000.0,-34000000.0,-17000000.0,201000000.0,-39000000.0,235000000.0,0.0,0.0,0.0,11000000.0,17000000.0,173000000.0,-38000000.0,-6000000.0,77000000.0,-580000000.0,-114000000.0,187000000.0,191000000.0,20000000.0,160000000.0,-114000000.0,585000000.0,-0.61,0.0,-564000000.0,0.0,-470000000.0,1165000000.0,0.0,-114000000.0,1047000000.0,-0.6,-487000000.0,-584000000.0,311000000.0,462000000.0,0.0279152391828448,0.19248291571754,2433000000.0,1.6265389876881,1.9047619047619,0.558739255014327,5.58614347028327,0.53062063296342,0.558739255014327,12.9809809581654,7.0,0.0656520441659206
12,2018-07-31 00:00:00+00:00,3,2018,5846000000.0,186000000.0,2182000000.0,54000000.0,455000000.0,597000000.0,54000000.0,3233000000.0,1326000000.0,2333000000.0,45000000.0,742000000.0,3664000000.0,1790000000.0,2590000000.0,-449000000.0,549000000.0,609000000.0,0.0,231000000.0,900000000.0,187919243.0,0.0,1790000000.0,2613000000.0,0.0,-40000000.0,-45000000.0,-2000000.0,-28000000.0,38000000.0,0.0,0.0,0.0,14000000.0,-5000000.0,-42000000.0,-23000000.0,-7000000.0,76000000.0,117000000.0,121000000.0,188000000.0,191000000.0,20000000.0,154000000.0,121000000.0,562000000.0,0.64,0.0,133000000.0,0.0,-8000000.0,445000000.0,0.0,121000000.0,1004000000.0,0.63,209000000.0,113000000.0,294000000.0,442000000.0,0.0405860559110812,0.206730769230769,2613000000.0,2.42444444444444,-7.4,0.559760956175299,5.3427205429941,0.685036356678148,0.559760956175299,13.9049091422745,6.0,0.097079556898288
