,year,quarter,date,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,2,2020-09-30 00:00:00+00:00,5443700000.0,2000000.0,745900000.0,216900000.0,-20900000.0,1975200000.0,661400000.0,252451515.0,9352000000.0,0.0,3443900000.0,996100000.0,368300000.0,822100000.0,0.0,2000000.0,8181400000.0,16770900000.0,0.0,11920600000.0,1634900000.0,14648800000.0,11327200000.0,2122100000.0,9177500000.0,903700000.0,-424000000.0,-9900000.0,0.0,-95300000.0,0.0,285800000.0,49700000.0,455800000.0,0.0,449500000.0,18600000.0,-41700000.0,-331300000.0,-6300000.0,501600000.0,581700000.0,256000000.0,73600000.0,93300000.0,0.0,267700000.0,73600000.0,0.29,0.27,182100000.0,88800000.0,807900000.0,467900000.0,15200000.0,0.0,199800000.0,73600000.0,1309500000.0,226200000.0,144700000.0,0.0,6.0,-0.0211541336522649,0.616953035509737,1.07437221547185,5443700000.0,0.616953035509737,5.18713464642904,-0.369565217391304,1.50291162260962,0.10984733892925,21.5633485107031,0.035353425262702
1,2021,1,2020-06-30 00:00:00+00:00,5501300000.0,2000000.0,793400000.0,211100000.0,-21100000.0,2585800000.0,657200000.0,245332497.0,8941000000.0,0.0,3465600000.0,1596300000.0,378200000.0,844000000.0,0.0,2000000.0,7730000000.0,17028100000.0,0.0,12151600000.0,1639100000.0,14893100000.0,11526800000.0,2135000000.0,9326300000.0,894300000.0,-507700000.0,-22800000.0,0.0,-90400000.0,0.0,292800000.0,42400000.0,501800000.0,0.0,492500000.0,11000000.0,-16900000.0,-412100000.0,-9300000.0,511400000.0,580000000.0,247700000.0,123600000.0,99100000.0,0.0,257800000.0,123600000.0,0.5,0.48,188600000.0,89500000.0,798300000.0,481400000.0,-34100000.0,0.0,198000000.0,123600000.0,1309700000.0,218300000.0,146300000.0,0.0,6.0,-0.00975351580220774,0.609528899748034,0.825663237682729,5501300000.0,0.609528899748034,5.33846928562424,1.38095238095238,1.40512242560849,0.11665692259582,22.4238536160988,0.0368233494942154
2,2020,4,2020-03-31 00:00:00+00:00,5585500000.0,2000000.0,986900000.0,246800000.0,-21600000.0,1637400000.0,685700000.0,239538076.0,10203200000.0,0.0,3432400000.0,608800000.0,401000000.0,876100000.0,0.0,2000000.0,8873400000.0,17426100000.0,0.0,12367100000.0,1748500000.0,15208900000.0,11840600000.0,2217200000.0,9482200000.0,934000000.0,-332300000.0,3900000.0,4700000.0,-88000000.0,0.0,310900000.0,40700000.0,371700000.0,0.0,362500000.0,20000000.0,-35500000.0,-239300000.0,-9200000.0,512500000.0,653200000.0,240100000.0,99900000.0,115400000.0,0.0,257400000.0,99900000.0,0.42,0.39,161200000.0,45800000.0,813900000.0,472100000.0,-54100000.0,0.0,221800000.0,99900000.0,1326400000.0,160700000.0,165700000.0,0.0,6.0,-0.00255677545495558,0.613615802171291,1.35409796018077,5585500000.0,0.613615802171291,5.53732426238574,-0.432432432432432,1.58864918091487,0.104449539395104,23.3177960400751,0.0320924189674858
4,2020,3,2019-12-31 00:00:00+00:00,5616600000.0,5200000.0,1097700000.0,209300000.0,-22000000.0,2336600000.0,708800000.0,238977636.0,9635400000.0,0.0,3420500000.0,1400800000.0,397100000.0,909700000.0,0.0,5200000.0,8179700000.0,17588600000.0,0.0,12604300000.0,1738400000.0,15484600000.0,11972000000.0,2104000000.0,9580500000.0,807500000.0,-357200000.0,-4700000.0,-2000000.0,-87700000.0,0.0,300000000.0,43500000.0,395500000.0,0.0,381400000.0,11300000.0,-43000000.0,-257200000.0,-14100000.0,501900000.0,654300000.0,239200000.0,311100000.0,119700000.0,0.0,258300000.0,311100000.0,1.3,1.2,130300000.0,10600000.0,785500000.0,430300000.0,-300500000.0,0.0,217100000.0,311100000.0,1287400000.0,131200000.0,170700000.0,0.0,6.0,-0.0635047646759292,0.610144477240951,0.900453650603441,5616600000.0,0.610144477240951,5.38711496836465,5.19047619047619,1.45634369547413,0.119775259004254,23.5026176256928,0.0358339059040718
5,2020,2,2019-09-30 00:00:00+00:00,5361300000.0,3300000.0,1294400000.0,235600000.0,-22300000.0,2423400000.0,734200000.0,238043610.0,10073800000.0,0.0,3197100000.0,1387300000.0,401800000.0,937000000.0,0.0,3300000.0,8415300000.0,17858500000.0,0.0,12851900000.0,1662000000.0,15680700000.0,12497200000.0,2177800000.0,9802600000.0,848600000.0,-399800000.0,-32200000.0,0.0,-87300000.0,0.0,297600000.0,45300000.0,396000000.0,0.0,378600000.0,20200000.0,-28400000.0,-315700000.0,-17400000.0,510300000.0,643900000.0,238400000.0,108900000.0,129600000.0,0.0,255300000.0,108900000.0,0.46,0.43,183100000.0,53500000.0,827500000.0,480700000.0,-55400000.0,0.0,219800000.0,108900000.0,1337800000.0,183600000.0,172300000.0,0.0,6.0,-0.066108202443281,0.618552847959336,0.898654782536932,5361300000.0,0.618552847959336,5.61997862492507,0.121951219512195,1.56963796094231,0.0727076243471007,22.5223436999632,0.0211263920143891
6,2020,1,2019-06-30 00:00:00+00:00,5288300000.0,3100000.0,1439500000.0,245700000.0,-22300000.0,2450800000.0,733100000.0,237926508.0,10507300000.0,0.0,3175500000.0,1373900000.0,434000000.0,963000000.0,0.0,3100000.0,8711400000.0,18246400000.0,0.0,13092600000.0,1680000000.0,15967900000.0,12958100000.0,2278500000.0,10085300000.0,936800000.0,-348900000.0,5400000.0,0.0,-87100000.0,0.0,307100000.0,40700000.0,380600000.0,0.0,356900000.0,7300000.0,-26300000.0,-257700000.0,-23700000.0,507400000.0,643600000.0,237800000.0,50700000.0,132600000.0,0.0,253900000.0,50700000.0,0.21,0.2,173100000.0,40500000.0,815200000.0,480200000.0,-10200000.0,0.0,219100000.0,50700000.0,1322600000.0,171600000.0,167900000.0,0.0,5.0,0.0908041237113402,0.616361711779828,0.929696425656928,5288300000.0,0.616361711779828,5.55885937686271,0.4,1.64729686288599,0.0709615393813585,22.2266112525806,0.0202072482402423
7,2019,4,2019-03-31 00:00:00+00:00,5287500000.0,2300000.0,1462300000.0,226400000.0,-20700000.0,2374500000.0,711700000.0,236968953.0,10688000000.0,0.0,3210600000.0,1360800000.0,428600000.0,996700000.0,0.0,2300000.0,8946200000.0,18350000000.0,0.0,13349500000.0,1677200000.0,16135200000.0,13062500000.0,2214800000.0,10307000000.0,880600000.0,-363400000.0,-3600000.0,2300000.0,-86600000.0,0.0,238700000.0,38900000.0,403400000.0,0.0,363300000.0,15700000.0,-43600000.0,-277700000.0,-40100000.0,509400000.0,535700000.0,237100000.0,174700000.0,136200000.0,0.0,251100000.0,174700000.0,0.74,0.69,287400000.0,151200000.0,820400000.0,526100000.0,-23500000.0,0.0,214700000.0,174700000.0,1329800000.0,284700000.0,167400000.0,0.0,5.0,0.326748478499451,0.616934877425177,0.932743735523268,5287500000.0,0.616934877425177,5.6117055975683,0.174603174603175,1.69195271867612,0.0686317048007482,22.313049591775,0.0191288550635837
9,2019,3,2018-12-31 00:00:00+00:00,5161100000.0,4000000.0,1551200000.0,236000000.0,-17000000.0,643700000.0,702500000.0,236509664.0,12350900000.0,0.0,3122400000.0,0.0,432200000.0,1039700000.0,0.0,4000000.0,10542300000.0,18155700000.0,0.0,13414900000.0,1717100000.0,16278100000.0,12994600000.0,1877600000.0,10542300000.0,544800000.0,-477600000.0,-27500000.0,-200000.0,-86400000.0,0.0,243900000.0,39600000.0,481500000.0,0.0,454200000.0,6600000.0,-31400000.0,-377700000.0,-27300000.0,595100000.0,584900000.0,236700000.0,49200000.0,137600000.0,0.0,244600000.0,49200000.0,0.21,0.2,192600000.0,55000000.0,779600000.0,436500000.0,5800000.0,0.0,217700000.0,49200000.0,1374700000.0,194700000.0,174800000.0,0.0,3.0,0.382719774693221,0.567105550301884,2.91688674848532,5161100000.0,0.567105550301884,5.81244747783329,-1.19626168224299,2.04264594756932,0.0700083800820928,21.8219412801669,0.0203890015047692
10,2019,2,2018-09-30 00:00:00+00:00,5170200000.0,4500000.0,1592500000.0,271200000.0,-16700000.0,2088100000.0,836700000.0,235557828.0,11408800000.0,0.0,3159600000.0,1335000000.0,459700000.0,1051900000.0,0.0,4500000.0,9551100000.0,18667100000.0,0.0,13613400000.0,1715500000.0,16490900000.0,13496900000.0,2176200000.0,10886100000.0,668800000.0,-593500000.0,-175500000.0,9200000.0,-85900000.0,600000.0,221000000.0,42600000.0,487500000.0,0.0,415500000.0,13900000.0,-69500000.0,-501300000.0,-72000000.0,743200000.0,586600000.0,235800000.0,96300000.0,138600000.0,0.0,251800000.0,96300000.0,0.41,0.38,99200000.0,-39400000.0,689300000.0,320200000.0,-135700000.0,0.0,221900000.0,96300000.0,1432500000.0,102700000.0,176600000.0,0.0,3.0,0.415373974903666,0.481186736474695,1.04219146592596,5170200000.0,0.481186736474695,6.08130925710522,-0.493827160493827,1.84733666009052,0.00658755435552804,21.9487505208275,0.0020332655130009
11,2019,1,2018-06-30 00:00:00+00:00,5123800000.0,14500000.0,1690900000.0,318200000.0,-14900000.0,2139300000.0,1104800000.0,235036703.0,11985700000.0,0.0,3149200000.0,1329800000.0,635200000.0,1078400000.0,0.0,14500000.0,10019800000.0,19248800000.0,0.0,13522100000.0,1675800000.0,16430400000.0,14125000000.0,2818400000.0,11349600000.0,789400000.0,6098000000.0,-266100000.0,1275600000.0,-85500000.0,-7851200000.0,172800000.0,45300000.0,302400000.0,0.0,213100000.0,6400000.0,-6666500000.0,6266500000.0,-89300000.0,570500000.0,509700000.0,235200000.0,35700000.0,90400000.0,0.0,252200000.0,35700000.0,0.15,0.14,128100000.0,37700000.0,642000000.0,300900000.0,2000000.0,0.0,171900000.0,35700000.0,1212500000.0,132300000.0,164000000.0,0.0,3.0,0.247299660528752,0.529484536082474,1.31744028420511,5123800000.0,0.529484536082474,5.15876875621422,-0.797297297297297,1.95554080955541,0.0318471358621941,21.7999994664663,0.0110335378116479
12,2018,4,2018-03-31 00:00:00+00:00,3279800000.0,1295300000.0,960700000.0,144100000.0,-17600000.0,2017400000.0,476200000.0,234343061.0,2960000000.0,0.0,1397300000.0,1309900000.0,901300000.0,767900000.0,0.0,1295300000.0,1758400000.0,8257200000.0,333800000.0,3961000000.0,100200000.0,4900900000.0,4977400000.0,3356300000.0,3068300000.0,563700000.0,-80200000.0,229200000.0,10000000.0,-85100000.0,0.0,156900000.0,23200000.0,359500000.0,0.0,301100000.0,15400000.0,-50100000.0,-200000.0,-58400000.0,387200000.0,371000000.0,234700000.0,146700000.0,50300000.0,0.0,251600000.0,146700000.0,0.63,0.59,238500000.0,188200000.0,615100000.0,395400000.0,41500000.0,0.0,133600000.0,146700000.0,1002300000.0,244100000.0,114500000.0,0.0,6.0,0.110386092644066,0.613688516412252,1.66367601863785,3279800000.0,0.613688516412252,4.27706284847069,0.0,0.536130251844625,0.0761050371686244,13.995720573096,0.0316049192054395
