,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.piotroskiFScore,statementData.overview.roe,statementData.overview.profitMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.grossMargin,statementData.overview.bvps,statementData.overview.revenueQoQ,statementData.overview.roa
0,2020-10-31 00:00:00+00:00,3,2021,3546000000.0,3316000000.0,0.0,-84000000.0,5075000000.0,5840000000.0,0.0,3724000000.0,0.0,9695000000.0,5666000000.0,3927000000.0,40310000000.0,765000000.0,59136000000.0,5526000000.0,2564000000.0,18826000000.0,14946000000.0,6592000000.0,7923000000.0,5768000000.0,32173000000.0,12234000000.0,910000000.0,44190000000.0,339000000.0,-13000000.0,0.0,215000000.0,368000000.0,-328000000.0,670000000.0,-1035000000.0,381000000.0,-920000000.0,0.0,566000000.0,-124000000.0,-24000000.0,0.0,1394000000.0,3801000000.0,0.0,224000000.0,911000000.0,939000000.0,1.15,1250000000.0,1081000000.0,1.19,1081000000.0,4025000000.0,1081000000.0,0.0,5419000000.0,902000000.0,169000000.0,1920000000.0,0.0,1250000000.0,2899000000.0,1.22167729279058,40310000000.0,5.0,0.0966576086956522,0.742756966229932,5.95494505494506,-10.9166666666667,0.12589928057554,0.742756966229932,44.2967032967033,0.200753379126966,0.0630492101123346
1,2020-07-31 00:00:00+00:00,2,2021,3485000000.0,3445000000.0,0.0,-68000000.0,5080000000.0,5847000000.0,0.0,4052000000.0,0.0,7786000000.0,4585000000.0,2555000000.0,38440000000.0,767000000.0,57780000000.0,5513000000.0,2580000000.0,19340000000.0,14846000000.0,6377000000.0,8711000000.0,5231000000.0,32286000000.0,12963000000.0,901000000.0,42934000000.0,429000000.0,-25000000.0,3000000.0,315000000.0,441000000.0,-1720000000.0,649000000.0,-2593000000.0,466000000.0,-1376000000.0,0.0,578000000.0,-114000000.0,-1154000000.0,0.0,1311000000.0,3662000000.0,0.0,178000000.0,904000000.0,922000000.0,2.85,839000000.0,2625000000.0,2.9,2625000000.0,3840000000.0,2625000000.0,0.0,5151000000.0,898000000.0,-1786000000.0,1488000000.0,0.0,839000000.0,2764000000.0,1.14525958497261,38440000000.0,5.0,0.0675470325107549,0.745486313337216,5.71698113207547,23.1666666666667,0.132154006243496,0.745486313337216,42.6637069922309,0.288716537403052,0.0437379602810538
2,2020-04-30 00:00:00+00:00,1,2021,2989000000.0,3076000000.0,0.0,-135000000.0,5095000000.0,5837000000.0,0.0,5772000000.0,0.0,5932000000.0,1960000000.0,1902000000.0,34565000000.0,742000000.0,53623000000.0,5501000000.0,0.0,19058000000.0,14713000000.0,6215000000.0,9112000000.0,4030000000.0,31507000000.0,12843000000.0,895000000.0,38910000000.0,1859000000.0,-49000000.0,-4000000.0,1536000000.0,209000000.0,1627000000.0,658000000.0,-437000000.0,258000000.0,-612000000.0,0.0,504000000.0,-323000000.0,-103000000.0,0.0,1254000000.0,3751000000.0,0.0,-140000000.0,896000000.0,913000000.0,0.11,47000000.0,99000000.0,0.11,99000000.0,3611000000.0,99000000.0,0.0,4865000000.0,859000000.0,-52000000.0,705000000.0,0.0,47000000.0,2892000000.0,1.14560460951491,34565000000.0,4.0,-0.00561840279237983,0.74224049331963,5.43575418994413,-0.784313725490196,0.147403442788948,0.74224049331963,38.6201117318436,0.301846400856302,-0.00347867747764637
3,2020-01-31 00:00:00+00:00,4,2020,3433000000.0,6174000000.0,0.0,-93000000.0,5118000000.0,5868000000.0,0.0,4145000000.0,0.0,5765000000.0,1861000000.0,1963000000.0,33885000000.0,750000000.0,55126000000.0,5415000000.0,579000000.0,21241000000.0,15963000000.0,6396000000.0,10662000000.0,3802000000.0,31206000000.0,14845000000.0,887000000.0,39163000000.0,1632000000.0,-165000000.0,-15000000.0,1496000000.0,125000000.0,277000000.0,633000000.0,-1465000000.0,290000000.0,-1330000000.0,0.0,511000000.0,-136000000.0,-30000000.0,0.0,1220000000.0,3667000000.0,0.0,-36000000.0,889000000.0,913000000.0,-0.3,-4000000.0,-248000000.0,-0.31,-248000000.0,3631000000.0,-248000000.0,0.0,4851000000.0,831000000.0,244000000.0,629000000.0,0.0,-4000000.0,2836000000.0,1.07531155271135,33885000000.0,5.0,0.00500119075970469,0.748505462791177,5.46899661781285,-1.64583333333333,0.1510402833112,0.748505462791177,38.2018038331454,0.346378018318068,0.00293778197460917
5,2019-10-31 00:00:00+00:00,3,2020,2881000000.0,2573000000.0,0.0,-74000000.0,5359000000.0,6094000000.0,0.0,3868000000.0,0.0,4421000000.0,2109000000.0,1760000000.0,33279000000.0,735000000.0,49942000000.0,5515000000.0,0.0,16663000000.0,11026000000.0,6189000000.0,6858000000.0,2661000000.0,30538000000.0,10474000000.0,877000000.0,38916000000.0,298000000.0,-164000000.0,-18000000.0,128000000.0,15000000.0,358000000.0,608000000.0,63000000.0,179000000.0,1000000.0,0.0,543000000.0,-170000000.0,94000000.0,0.0,1134000000.0,3314000000.0,0.0,65000000.0,879000000.0,879000000.0,-0.12,64000000.0,-109000000.0,-0.12,-109000000.0,3379000000.0,-109000000.0,0.0,4513000000.0,774000000.0,173000000.0,672000000.0,0.0,64000000.0,2540000000.0,1.05270192858507,33279000000.0,6.0,0.0356865787432118,0.748725902947042,5.14595210946408,-1.85714285714286,0.161032482947204,0.748725902947042,37.9464082098062,0.330483490566038,0.0200042128437375
6,2019-07-31 00:00:00+00:00,2,2020,2347000000.0,2332000000.0,0.0,-77000000.0,5314000000.0,6020000000.0,0.0,3510000000.0,0.0,4146000000.0,2218000000.0,1614000000.0,17166000000.0,706000000.0,33336000000.0,5187000000.0,0.0,16170000000.0,9903000000.0,5975000000.0,7142000000.0,2532000000.0,15527000000.0,10195000000.0,776000000.0,23433000000.0,436000000.0,-335000000.0,-1000000.0,258000000.0,-183000000.0,-600000000.0,457000000.0,-852000000.0,152000000.0,-322000000.0,0.0,388000000.0,-178000000.0,-423000000.0,0.0,967000000.0,2972000000.0,0.0,58000000.0,776000000.0,795000000.0,0.11,164000000.0,91000000.0,0.12,91000000.0,3030000000.0,91000000.0,0.0,3997000000.0,607000000.0,73000000.0,621000000.0,0.0,164000000.0,2199000000.0,0.971358509073075,17166000000.0,5.0,0.0594586136754811,0.75806855141356,5.15077319587629,-0.7,0.309565420016311,0.75806855141356,22.1211340206186,0.218226150563853,0.0306909502079716
7,2019-04-30 00:00:00+00:00,1,2020,2228000000.0,2153000000.0,0.0,-65000000.0,5556000000.0,6231000000.0,0.0,4110000000.0,0.0,3817000000.0,2127000000.0,1548000000.0,16446000000.0,675000000.0,33154000000.0,5097000000.0,0.0,16708000000.0,10035000000.0,6220000000.0,7585000000.0,2269000000.0,15325000000.0,10488000000.0,771000000.0,23119000000.0,1965000000.0,-12000000.0,-5000000.0,1806000000.0,207000000.0,1441000000.0,437000000.0,-726000000.0,219000000.0,-751000000.0,0.0,343000000.0,-159000000.0,-10000000.0,0.0,914000000.0,2613000000.0,0.0,210000000.0,771000000.0,793000000.0,0.49,482000000.0,392000000.0,0.51,392000000.0,2823000000.0,392000000.0,0.0,3737000000.0,554000000.0,90000000.0,919000000.0,0.0,482000000.0,2059000000.0,0.956807780320366,16446000000.0,6.0,0.0768516060525617,0.755418785121755,4.84695201037613,0.0851063829787235,0.33783290769792,0.755418785121755,21.3307392996109,0.243180306054558,0.0398273460473595
8,2019-01-31 00:00:00+00:00,4,2019,2691000000.0,4924000000.0,0.0,-58000000.0,3173000000.0,3173000000.0,0.0,2669000000.0,0.0,2975000000.0,1735000000.0,1302000000.0,15605000000.0,0.0,30737000000.0,2051000000.0,0.0,15132000000.0,10683000000.0,3877000000.0,8564000000.0,1673000000.0,15469000000.0,11255000000.0,765000000.0,20054000000.0,1331000000.0,-522000000.0,-3000000.0,1164000000.0,-386000000.0,564000000.0,275000000.0,-378000000.0,136000000.0,-382000000.0,0.0,329000000.0,-167000000.0,0.0,0.0,946000000.0,2520000000.0,0.0,137000000.0,766000000.0,784000000.0,0.46,239000000.0,362000000.0,0.48,362000000.0,2657000000.0,362000000.0,0.0,3603000000.0,518000000.0,-123000000.0,514000000.0,0.0,239000000.0,2002000000.0,0.949178143047534,15605000000.0,6.0,0.0808949458878403,0.73744102137108,4.70980392156863,0.714285714285714,0.203332265299583,0.73744102137108,20.3986928104575,0.257591623036649,0.0418429757518071
10,2018-10-31 00:00:00+00:00,3,2019,2143000000.0,2037000000.0,0.0,-74000000.0,3173000000.0,3676000000.0,0.0,2105000000.0,0.0,2596000000.0,1373000000.0,1251000000.0,14693000000.0,503000000.0,26588000000.0,1998000000.0,0.0,11895000000.0,6870000000.0,3873000000.0,5376000000.0,1345000000.0,15050000000.0,8022000000.0,756700000.0,19718000000.0,143000000.0,-3000000.0,6000000.0,7000000.0,182000000.0,-214000000.0,257000000.0,-545000000.0,185000000.0,-362000000.0,0.0,351000000.0,-136000000.0,-130000000.0,0.0,889000000.0,2411000000.0,0.0,92000000.0,760000000.0,785000000.0,0.13,128000000.0,105000000.0,0.14,105000000.0,2503000000.0,105000000.0,0.0,3392000000.0,481000000.0,23000000.0,385000000.0,0.0,128000000.0,1930000000.0,0.856394913986537,14693000000.0,6.0,0.0768471715971565,0.737912735849057,4.48262191092903,-0.0666666666666665,0.215953174981284,0.737912735849057,19.4172062904718,0.255831173639393,0.0391955463341482
11,2018-07-31 00:00:00+00:00,2,2019,2083000000.0,1980000000.0,0.0,-50000000.0,3173000000.0,3676000000.0,0.0,2319000000.0,0.0,2310000000.0,1269000000.0,1202000000.0,13528000000.0,503000000.0,25823000000.0,1986000000.0,0.0,12295000000.0,6802000000.0,3826000000.0,5883000000.0,1108000000.0,14375000000.0,8469000000.0,733900000.0,19021000000.0,458000000.0,407000000.0,11000000.0,288000000.0,589000000.0,-3603000000.0,253000000.0,-4661000000.0,182000000.0,310000000.0,0.0,351000000.0,-170000000.0,-4803000000.0,0.0,849000000.0,2317000000.0,0.0,115000000.0,747000000.0,774000000.0,0.39,231000000.0,299000000.0,0.4,299000000.0,2432000000.0,299000000.0,0.0,3281000000.0,463000000.0,-68000000.0,484000000.0,0.0,231000000.0,1854000000.0,0.803164482229307,13528000000.0,5.0,0.0873191535613724,0.741237427613533,4.470636326475,5.66666666666667,0.234550561797753,0.741237427613533,18.4330290230277,0.273185875048506,0.0433265175645294
