,year,quarter,date,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.equity,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.acctRec,statementData.balanceSheet.deposits,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.incomeStatement.sga,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opex,statementData.incomeStatement.eps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.intexp,statementData.incomeStatement.consolidatedIncome,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,4610406000.0,122525730000.0,5505008000.0,21687169000.0,175503000.0,16101013000.0,138626743000.0,0.0,1146681000.0,13132374000.0,0.0,115163339000.0,105627120000.0,0.0,0.0,0.0,0.0,128280043.0,0.0,-31719000.0,-6012000.0,134417000.0,-826827000.0,85510000.0,845074000.0,-856791000.0,0.0,967256000.0,-37731000.0,-141514000.0,0.0,0.0,746079000.0,128355000.0,468145000.0,553655000.0,0.0,0.0,746079000.0,2.75,18737000.0,0.0,2.75,353399000.0,128285000.0,0.0,468145000.0,114746000.0,1313656000.0,567577000.0,1313656000.0,353399000.0,0.0,372136000.0,0.00995440802153937,3.0,16101013000.0,-0.207492795389049,10.2405328941151,1.0,0.341904450359738,-0.13156414258506,125.514558800078,1.0,0.0818250038719813
1,2020,2,2020-06-30 00:00:00+00:00,4614320000.0,123591864000.0,6373589000.0,22243156000.0,244630000.0,15945105000.0,139536969000.0,0.0,1155281000.0,12919345000.0,0.0,114967959000.0,105867190000.0,0.0,0.0,0.0,0.0,128272673.0,0.0,-42104000.0,525519000.0,56623000.0,14622989000.0,76885000.0,-14826458000.0,-8184000.0,0.0,-15091885000.0,483415000.0,-141520000.0,0.0,0.0,727546000.0,128333000.0,294412000.0,371297000.0,0.0,0.0,727546000.0,1.74,17956000.0,0.0,1.74,223098000.0,128275000.0,0.0,294412000.0,71314000.0,1119410000.0,391864000.0,1119410000.0,223098000.0,0.0,241054000.0,0.0110588564136047,5.0,15945105000.0,-0.479041916167665,8.72680029050303,1.0,0.399720729339819,-0.253017531309723,124.306328285527,1.0,0.0890704273632416
2,2020,1,2020-03-31 00:00:00+00:00,4618233000.0,108762039000.0,6380615000.0,10194499000.0,209833000.0,15815794000.0,124577833000.0,0.0,1154558000.0,12837390000.0,0.0,100183308000.0,102938790000.0,0.0,0.0,0.0,0.0,130436633.0,0.0,-51547000.0,-394442000.0,-138113000.0,4108692000.0,77660000.0,-4221516000.0,-756306000.0,0.0,-3852363000.0,-445989000.0,-143170000.0,-373750000.0,0.0,825822000.0,129755000.0,331628000.0,409288000.0,0.0,0.0,825822000.0,1.93,18121000.0,0.0,1.93,250701000.0,129696000.0,0.0,331628000.0,80927000.0,1256165000.0,430343000.0,1256165000.0,250701000.0,0.0,268822000.0,0.0133314558128927,3.0,15815794000.0,-0.423880597014925,9.63046171239333,1.0,0.403433112495016,-0.178346115480843,121.252700535439,1.0,0.104001136053393
3,2019,4,2019-12-31 00:00:00+00:00,4622146000.0,104156108000.0,7048549000.0,8626459000.0,-206680000.0,15716649000.0,119872757000.0,0.0,1140924000.0,12820916000.0,0.0,94770069000.0,99839178000.0,0.0,0.0,0.0,0.0,131960084.0,0.0,-58527000.0,1130707000.0,-382756000.0,-6240137000.0,77272000.0,5036478000.0,-5452493000.0,0.0,4726674000.0,1072180000.0,-145171000.0,-282210000.0,0.0,745227000.0,129755000.0,632505000.0,709777000.0,0.0,0.0,745227000.0,3.6,19685000.0,0.0,3.59,473381000.0,131960084.0,0.0,632505000.0,159124000.0,1475873000.0,730646000.0,1475873000.0,473381000.0,0.0,493066000.0,0.0151924808026391,5.0,15716649000.0,-0.0374331550802139,11.1842381064262,1.0,0.448476580472084,-0.0171042571838812,119.10153831063,1.0,0.117848503952541
5,2019,3,2019-09-30 00:00:00+00:00,4626451000.0,109721115000.0,12516420000.0,14314585000.0,-80308000.0,15779811000.0,125500926000.0,0.0,1074181000.0,12490233000.0,0.0,95113933000.0,100076595000.0,0.0,0.0,0.0,0.0,133666679.0,0.0,-36865000.0,746670000.0,547450000.0,3219588000.0,77946000.0,-3353191000.0,226554000.0,0.0,-3418808000.0,709805000.0,-132930000.0,-299963000.0,0.0,802265000.0,132999000.0,616379000.0,694325000.0,0.0,0.0,802265000.0,3.47,18671000.0,0.0,3.47,461410000.0,132965000.0,0.0,616379000.0,154969000.0,1512669000.0,710404000.0,1512669000.0,461410000.0,0.0,480081000.0,0.0156120130680088,6.0,15779811000.0,-0.019774011299435,11.316724641599,1.0,0.793192009714185,0.0273966741196958,118.053437985094,1.0,0.121655695824644
6,2019,2,2019-06-30 00:00:00+00:00,4631540000.0,105863068000.0,12266897000.0,10063364000.0,-112958000.0,15691827000.0,121554895000.0,0.0,1066511000.0,12162278000.0,0.0,91681024000.0,100907843000.0,0.0,0.0,0.0,0.0,136622163.0,0.0,-51947000.0,66872000.0,4351000.0,789599000.0,73925000.0,-878581000.0,133382000.0,0.0,-852120000.0,14925000.0,-134442000.0,-401984000.0,0.0,802949000.0,135464000.0,604916000.0,678841000.0,0.0,0.0,802949000.0,3.34,20628000.0,0.0,3.34,452632000.0,135433000.0,0.0,604916000.0,152284000.0,1498576000.0,695627000.0,1498576000.0,452632000.0,0.0,473260000.0,0.0162624125625902,5.0,15691827000.0,0.0245398773006136,10.9687620741299,1.0,0.781737970983239,0.0470758474875297,114.855647542339,1.0,0.1251559131719
7,2019,1,2019-03-31 00:00:00+00:00,4637059000.0,104437676000.0,12078590000.0,8870157000.0,-288009000.0,15587529000.0,120025205000.0,0.0,1044761000.0,11842371000.0,0.0,90469750000.0,100433708000.0,0.0,0.0,0.0,0.0,138526278.0,0.0,-30710000.0,413306000.0,-338179000.0,-1022746000.0,72172000.0,296271000.0,-796951000.0,0.0,271261000.0,382596000.0,-139595000.0,-365628000.0,0.0,827485000.0,137920000.0,613821000.0,685993000.0,0.0,0.0,827485000.0,3.35,20656000.0,0.0,3.35,462086000.0,137889000.0,0.0,613821000.0,151735000.0,1528825000.0,701340000.0,1528825000.0,462086000.0,0.0,482742000.0,0.0165374505062093,6.0,15587529000.0,0.495535714285714,11.0363536945676,1.0,0.774888053135298,0.0989151193958078,112.523986243245,1.0,0.126672541466402
8,2018,4,2018-12-31 00:00:00+00:00,4640179000.0,104637212000.0,12843292000.0,9710636000.0,-420081000.0,15460191000.0,120097403000.0,0.0,647408000.0,11516672000.0,0.0,90156572000.0,100325430000.0,0.0,0.0,0.0,0.0,140357696.0,0.0,-38374000.0,550235000.0,293828000.0,2690374000.0,43089000.0,-2967383000.0,2336781000.0,0.0,-2946781000.0,511861000.0,-139002000.0,-499834000.0,0.0,736760000.0,137920000.0,678506000.0,721595000.0,0.0,0.0,736760000.0,3.74,20888000.0,0.0,3.74,525331000.0,140357696.0,0.0,678506000.0,153175000.0,1501556000.0,764796000.0,1501556000.0,525331000.0,0.0,546219000.0,0.0154948610811426,6.0,15460191000.0,0.860696517412936,10.6980667451253,1.0,0.830733074384398,0.0540911461751923,110.148509419818,1.0,0.118103967661703
10,2018,3,2018-09-30 00:00:00+00:00,4645538000.0,101391552000.0,10450378000.0,7835357000.0,-542399000.0,15436085000.0,116827637000.0,0.0,634424000.0,11128343000.0,0.0,89140396000.0,98859916000.0,0.0,0.0,0.0,0.0,143790862.0,0.0,-22186000.0,1018375000.0,-57483000.0,-1949600000.0,44597000.0,898292000.0,-1156935000.0,0.0,873742000.0,996189000.0,-143815000.0,-498500000.0,0.0,700309000.0,142976000.0,675625000.0,720222000.0,0.0,0.0,700309000.0,3.54,20728000.0,0.0,3.53,505363000.0,142822000.0,0.0,675625000.0,170262000.0,1472332000.0,772023000.0,1472332000.0,505363000.0,0.0,526091000.0,0.0136575951623223,6.0,15436085000.0,0.594594594594595,10.2393989403861,1.0,0.677009617399749,0.0618572686563827,107.350945569823,1.0,0.102466962690269
11,2018,2,2018-06-30 00:00:00+00:00,4651681000.0,102848168000.0,11621732000.0,8039079000.0,-517941000.0,15577885000.0,118426053000.0,0.0,637809000.0,10763638000.0,0.0,89272588000.0,100209507000.0,0.0,0.0,0.0,0.0,145235614.0,0.0,-27572000.0,37063000.0,76430000.0,-872151000.0,45750000.0,906476000.0,1411109000.0,0.0,911518000.0,9491000.0,-115247000.0,-475096000.0,0.0,700917000.0,144998000.0,634062000.0,679812000.0,0.0,0.0,700917000.0,3.26,20562000.0,0.0,3.26,472598000.0,144825000.0,0.0,634062000.0,161464000.0,1431201000.0,730284000.0,1431201000.0,472598000.0,0.0,493160000.0,0.0121302945990507,5.0,15577885000.0,0.38135593220339,9.85433917055633,1.0,0.74604042846638,0.0624974016641229,107.259401265037,1.0,0.0904302697691463
