,year,quarter,date,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,49000000.0,72319000000.0,2884000000.0,856000000.0,711000000.0,54778000000.0,6761000000.0,270000000.0,1144000000.0,10118000000.0,13503000000.0,0.0,0.0,0.0,4351000000.0,358196405.0,17802000000.0,54517000000.0,-117000000.0,-1155000000.0,0.0,1361000000.0,1000000.0,-1222000000.0,-27000000.0,0.0,142000000.0,1388000000.0,42000000.0,0.0,-102000000.0,-252000000.0,453000000.0,2962000000.0,1.26,459000000.0,1.26,590000000.0,0.0,732000000.0,358196405.0,0.0,6000000.0,1619000000.0,1093000000.0,2209000000.0,532000000.0,5171000000.0,58000000.0,73000000.0,459000000.0,590000000.0,0.0,0.0244228389605798,5.0,17802000000.0,-0.131034482758621,14.4362141211328,0.427190098626958,0.244410740366251,-0.0329156536375538,49.6989912559284,0.427190098626958,0.104020478843548
1,2020,2,2020-06-30 00:00:00+00:00,130000000.0,70990000000.0,2907000000.0,479000000.0,750000000.0,53028000000.0,6872000000.0,372000000.0,1135000000.0,10235000000.0,13167000000.0,0.0,0.0,0.0,4350000000.0,358074981.0,17072000000.0,53918000000.0,-116000000.0,-567000000.0,0.0,941000000.0,4000000.0,-562000000.0,-28000000.0,0.0,135000000.0,969000000.0,-36000000.0,237000000.0,71000000.0,-300000000.0,463000000.0,2847000000.0,1.29,468000000.0,1.29,649000000.0,0.0,784000000.0,358074981.0,0.0,5000000.0,1572000000.0,1125000000.0,2221000000.0,592000000.0,5068000000.0,57000000.0,124000000.0,468000000.0,649000000.0,0.0,0.0256137214329723,5.0,17072000000.0,0.25242718446602,14.1534602217852,0.438239936858721,0.254803186504217,-0.00471327572663005,47.6771651354217,0.438239936858721,0.111183254490925
2,2020,1,2020-03-31 00:00:00+00:00,502000000.0,68724000000.0,2941000000.0,-957000000.0,758000000.0,50359000000.0,6810000000.0,301000000.0,1161000000.0,10154000000.0,12819000000.0,0.0,0.0,0.0,4349000000.0,358252183.0,15266000000.0,53458000000.0,-108000000.0,805000000.0,0.0,275000000.0,-182000000.0,777000000.0,-23000000.0,0.0,134000000.0,298000000.0,-9000000.0,-737000000.0,39000000.0,-1027000000.0,268000000.0,2916000000.0,0.75,273000000.0,0.74,408000000.0,0.0,542000000.0,358252183.0,0.0,5000000.0,1632000000.0,1176000000.0,2040000000.0,344000000.0,4956000000.0,64000000.0,71000000.0,273000000.0,408000000.0,0.0,0.0244495450622876,5.0,15266000000.0,-0.568965517241379,13.8338305673353,0.411622276029056,0.284881435870562,0.00323886639676108,42.6124409687128,0.411622276029056,0.108542905287254
3,2019,4,2019-12-31 00:00:00+00:00,299000000.0,70817000000.0,2983000000.0,52000000.0,755000000.0,53030000000.0,6635000000.0,262000000.0,1181000000.0,9911000000.0,12685000000.0,0.0,0.0,0.0,4848000000.0,360421232.0,16270000000.0,54547000000.0,-106000000.0,-817000000.0,0.0,1013000000.0,-98000000.0,-828000000.0,-30000000.0,0.0,118000000.0,1043000000.0,5000000.0,-323000000.0,-28000000.0,-248000000.0,543000000.0,2939000000.0,1.51,548000000.0,1.49,741000000.0,0.0,859000000.0,360421232.0,0.0,5000000.0,1681000000.0,1224000000.0,2422000000.0,676000000.0,5361000000.0,65000000.0,128000000.0,548000000.0,741000000.0,0.0,0.0301457996341316,7.0,16270000000.0,1.84905660377358,14.8742624574348,0.451781384070136,0.297971727105101,0.157133606734297,45.1416247309204,0.451781384070136,0.133204259438529
5,2019,3,2019-09-30 00:00:00+00:00,376000000.0,70256000000.0,3039000000.0,214000000.0,764000000.0,52577000000.0,6820000000.0,290000000.0,1194000000.0,9913000000.0,12251000000.0,0.0,0.0,0.0,4846000000.0,361581394.0,16078000000.0,54178000000.0,-111000000.0,-1314000000.0,0.0,1411000000.0,-42000000.0,-1350000000.0,-31000000.0,0.0,112000000.0,1442000000.0,3000000.0,206000000.0,7000000.0,-88000000.0,524000000.0,2914000000.0,1.45,535000000.0,1.43,720000000.0,0.0,832000000.0,361581394.0,0.0,11000000.0,1623000000.0,1167000000.0,2433000000.0,653000000.0,5347000000.0,67000000.0,118000000.0,535000000.0,810000000.0,0.0,0.0257914749452628,7.0,16078000000.0,0.208333333333333,14.7878184240863,0.45502150738732,0.301405647468591,0.104295745559686,44.4657835463735,0.45502150738732,0.116372787403717
6,2019,2,2019-06-30 00:00:00+00:00,615000000.0,69472000000.0,3104000000.0,-198000000.0,790000000.0,50769000000.0,6833000000.0,283000000.0,1222000000.0,10120000000.0,11836000000.0,0.0,0.0,0.0,4550000000.0,361499141.0,15292000000.0,54180000000.0,-107000000.0,1828000000.0,-1901000000.0,701000000.0,-38000000.0,-99000000.0,-24000000.0,0.0,113000000.0,725000000.0,-20000000.0,-152000000.0,179000000.0,-427000000.0,372000000.0,2934000000.0,1.03,372000000.0,1.02,519000000.0,0.0,632000000.0,361499141.0,0.0,0.0,1639000000.0,1141000000.0,2158000000.0,456000000.0,5092000000.0,63000000.0,84000000.0,372000000.0,519000000.0,0.0,0.0252436267248772,7.0,15292000000.0,-0.364197530864198,14.085787274388,0.423802042419482,0.297541198012032,0.0632699937356442,42.301621955998,0.423802042419482,0.116764631639681
7,2019,1,2019-03-31 00:00:00+00:00,921000000.0,63324000000.0,1934000000.0,-885000000.0,742000000.0,47895000000.0,5482000000.0,104000000.0,1145000000.0,8501000000.0,11572000000.0,0.0,0.0,0.0,4266000000.0,359470401.0,14340000000.0,48984000000.0,-109000000.0,148000000.0,0.0,259000000.0,-28000000.0,129000000.0,-20000000.0,0.0,108000000.0,279000000.0,3000000.0,-261000000.0,-17000000.0,-428000000.0,625000000.0,2685000000.0,1.74,630000000.0,1.71,839000000.0,0.0,947000000.0,359470401.0,0.0,5000000.0,1416000000.0,1048000000.0,2255000000.0,775000000.0,4940000000.0,64000000.0,145000000.0,630000000.0,839000000.0,0.0,0.0295186872334502,6.0,14340000000.0,0.0419161676646707,13.7424388385179,0.456477732793522,0.297489539748954,0.053080366659561,39.892018814645,0.456477732793522,0.138781394642993
8,2018,4,2018-12-31 00:00:00+00:00,1248000000.0,62307000000.0,1947000000.0,-1579000000.0,767000000.0,46790000000.0,5282000000.0,121000000.0,1006000000.0,8352000000.0,11055000000.0,0.0,0.0,0.0,4678000000.0,358734819.0,13101000000.0,49206000000.0,-109000000.0,-1149000000.0,0.0,949000000.0,-26000000.0,-1200000000.0,-52000000.0,0.0,108000000.0,1001000000.0,-6000000.0,-621000000.0,19000000.0,224000000.0,190000000.0,2946000000.0,0.53,196000000.0,0.53,237000000.0,0.0,345000000.0,358734819.0,0.0,6000000.0,1450000000.0,1086000000.0,1687000000.0,167000000.0,4633000000.0,70000000.0,-29000000.0,196000000.0,237000000.0,0.0,0.0179568029711978,6.0,13101000000.0,-1.05211406096362,12.914832223186,0.364126915605439,0.357071979238226,0.0100283409635928,36.5200122935376,0.364126915605439,0.139831906675207
10,2018,3,2018-09-30 00:00:00+00:00,1244000000.0,61437000000.0,1941000000.0,-1519000000.0,775000000.0,46134000000.0,5388000000.0,102000000.0,997000000.0,7956000000.0,10973000000.0,0.0,0.0,0.0,4676000000.0,358419118.0,12729000000.0,48708000000.0,-90000000.0,-544000000.0,0.0,561000000.0,5000000.0,-555000000.0,-11000000.0,0.0,122000000.0,572000000.0,2000000.0,671000000.0,-45000000.0,-64000000.0,432000000.0,2786000000.0,1.2,432000000.0,1.19,604000000.0,-5000000.0,726000000.0,358419118.0,0.0,0.0,1457000000.0,1091000000.0,2056000000.0,535000000.0,4842000000.0,69000000.0,103000000.0,432000000.0,599000000.0,0.0,-0.0148332500203851,5.0,12729000000.0,0.846153846153846,13.5093240199313,0.424617926476663,0.367350145337418,0.155057251908397,35.5142886100177,0.424617926476663,-0.161195869933734
11,2018,2,2018-06-30 00:00:00+00:00,1282000000.0,60775000000.0,1959000000.0,-1353000000.0,784000000.0,45648000000.0,5446000000.0,147000000.0,1013000000.0,7913000000.0,10649000000.0,0.0,0.0,0.0,4675000000.0,358139192.0,12546000000.0,48229000000.0,-90000000.0,-1087000000.0,1115000000.0,538000000.0,4000000.0,35000000.0,-20000000.0,0.0,121000000.0,558000000.0,-1000000.0,-807000000.0,-81000000.0,-950000000.0,582000000.0,2738000000.0,1.62,582000000.0,1.6,764000000.0,-148000000.0,885000000.0,358139192.0,0.0,0.0,1429000000.0,1067000000.0,2051000000.0,685000000.0,4789000000.0,79000000.0,103000000.0,582000000.0,622000000.0,0.0,-0.0126012502201092,4.0,12546000000.0,-15.7272727272727,13.371895919171,0.428273125913552,0.372628726287263,0.136449928808733,35.0310724998788,0.428273125913552,-0.162365286443562
