,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.equity,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.overview.bvps,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.piotroskiFScore,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.profitMargin,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.longTermDebtEquity
0,2019-09-30 00:00:00+00:00,4,2019,15151000000.0,8640000000.0,-1073000000.0,18377000000.0,0.0,4798000000.0,3824000000.0,0.0,8454000000.0,403395362.0,3299000000.0,760000000.0,8738000000.0,482000000.0,265000000.0,19887000000.0,0.0,98000000.0,12211000000.0,0.0,23671000000.0,11327000000.0,922000000.0,438000000.0,0.0,5294000000.0,56000000.0,-102000000.0,398000000.0,-18000000.0,473000000.0,-220000000.0,-75000000.0,23000000.0,0.0,-80000000.0,-28000000.0,0.0,38000000.0,-315000000.0,3433000000.0,307000000.0,952000000.0,891000000.0,93000000.0,581000000.0,323000000.0,0.0,0.0,1519000000.0,404100000.0,16000000.0,1914000000.0,0.76,125000000.0,0.0,403700000.0,307000000.0,567000000.0,0.76,525000000.0,400000000.0,21.1207187850613,0.0664691485250547,-0.0149210903873744,7.0,0.190288875230486,-0.224489795918367,8.51026145412153,0.442470142732304,8520000000.0,0.442470142732304,1.38441422594142,1.02200141944642
2,2019-06-30 00:00:00+00:00,3,2019,15165000000.0,8638000000.0,-832000000.0,18206000000.0,0.0,4782000000.0,4003000000.0,0.0,8440000000.0,403075032.0,3386000000.0,722000000.0,8958000000.0,441000000.0,318000000.0,19656000000.0,0.0,320000000.0,12214000000.0,0.0,23648000000.0,11162000000.0,891000000.0,474000000.0,0.0,5442000000.0,55000000.0,-46000000.0,342000000.0,1000000.0,384000000.0,0.0,-42000000.0,15000000.0,0.0,-81000000.0,-5000000.0,0.0,236000000.0,-103000000.0,3357000000.0,544000000.0,884000000.0,828000000.0,122000000.0,840000000.0,550000000.0,0.0,0.0,1640000000.0,404000000.0,6000000.0,1717000000.0,1.35,119000000.0,0.0,403500000.0,544000000.0,756000000.0,1.35,785000000.0,666000000.0,21.0457094251375,0.0701205129304799,0.0370713623725671,7.0,0.207665195440257,0.0384615384615385,8.32847418839875,0.488531426869228,8483000000.0,0.488531426869228,1.35948038970772,1.02345971563981
3,2019-03-31 00:00:00+00:00,2,2019,15068000000.0,8637000000.0,-828000000.0,18093000000.0,0.0,4774000000.0,3872000000.0,0.0,7976000000.0,403070416.0,3088000000.0,486000000.0,8959000000.0,394000000.0,319000000.0,19197000000.0,0.0,322000000.0,12229000000.0,0.0,23093000000.0,11196000000.0,895000000.0,464000000.0,0.0,5000000000.0,54000000.0,-416000000.0,451000000.0,1000000.0,491000000.0,0.0,-40000000.0,17000000.0,0.0,-80000000.0,-377000000.0,0.0,-48000000.0,-124000000.0,2958000000.0,376000000.0,866000000.0,743000000.0,120000000.0,668000000.0,381000000.0,0.0,0.0,1434000000.0,403700000.0,5000000.0,1524000000.0,0.93,118000000.0,0.0,403300000.0,376000000.0,568000000.0,0.93,614000000.0,496000000.0,19.9096725570651,0.069540099804917,-0.0603557814485387,6.0,0.214644532419575,0.409090909090909,7.33866809019296,0.484787018255578,8025000000.0,0.484787018255578,1.29132231404959,1.08287362086259
4,2018-12-31 00:00:00+00:00,1,2019,15020000000.0,8635000000.0,-839000000.0,17708000000.0,0.0,4759000000.0,3833000000.0,0.0,7670000000.0,402868891.0,3205000000.0,534000000.0,8961000000.0,305000000.0,274000000.0,18916000000.0,0.0,326000000.0,11911000000.0,0.0,22744000000.0,11187000000.0,893000000.0,424000000.0,0.0,5036000000.0,50000000.0,-44000000.0,191000000.0,-5000000.0,228000000.0,-1100000000.0,-37000000.0,9000000.0,0.0,-81000000.0,-14000000.0,0.0,-1023000000.0,-1202000000.0,3090000000.0,321000000.0,812000000.0,684000000.0,110000000.0,608000000.0,334000000.0,0.0,0.0,1407000000.0,403500000.0,13000000.0,1683000000.0,0.8,127000000.0,0.0,403100000.0,321000000.0,595000000.0,0.8,558000000.0,431000000.0,19.1724905361333,0.0648669644591183,0.0055320533680443,4.0,0.20829435609604,-0.398496240601504,7.66998909330033,0.455339805825243,7724000000.0,0.455339805825243,1.31385337855466,1.125814863103
5,2018-09-30 00:00:00+00:00,4,2018,16318000000.0,9515000000.0,-737000000.0,17707000000.0,0.0,4744000000.0,4054000000.0,0.0,7407000000.0,402863978.0,3141000000.0,1557000000.0,10082000000.0,433000000.0,296000000.0,18561000000.0,0.0,567000000.0,11922000000.0,0.0,23783000000.0,12264000000.0,919000000.0,398000000.0,0.0,6076000000.0,54000000.0,-96000000.0,749000000.0,0.0,825000000.0,0.0,-76000000.0,12000000.0,0.0,-81000000.0,-22000000.0,0.0,628000000.0,-101000000.0,3485000000.0,394000000.0,868000000.0,806000000.0,111000000.0,691000000.0,407000000.0,0.0,0.0,1531000000.0,403300000.0,13000000.0,1954000000.0,0.98,132000000.0,0.0,403000000.0,394000000.0,663000000.0,0.98,637000000.0,505000000.0,18.5298274545658,0.0741195873621576,0.0500150647785478,6.0,0.247846303572072,-0.416666666666667,8.65056244864861,0.439311334289814,7465000000.0,0.439311334289814,1.498766650222,1.2845956527609
7,2018-06-30 00:00:00+00:00,3,2018,16090000000.0,10065000000.0,-811000000.0,17588000000.0,0.0,4767000000.0,3297000000.0,0.0,7006000000.0,402404941.0,3149000000.0,929000000.0,10088000000.0,305000000.0,350000000.0,18247000000.0,0.0,23000000.0,11921000000.0,0.0,23161000000.0,12793000000.0,875000000.0,317000000.0,0.0,5573000000.0,51000000.0,-41000000.0,660000000.0,-48000000.0,698000000.0,0.0,-38000000.0,10000000.0,0.0,-80000000.0,-19000000.0,0.0,512000000.0,-97000000.0,3237000000.0,522000000.0,813000000.0,738000000.0,93000000.0,804000000.0,525000000.0,0.0,0.0,1556000000.0,403300000.0,3000000.0,1681000000.0,1.29,138000000.0,0.0,402800000.0,522000000.0,743000000.0,1.3,753000000.0,615000000.0,17.571851832704,0.0862716326442536,-0.0377526753864447,6.0,0.303211861514542,-0.235294117647059,8.04413581989293,0.480691998764288,7071000000.0,0.480691998764288,1.6903245374583,1.43662574935769
8,2018-03-31 00:00:00+00:00,2,2018,16140000000.0,10069000000.0,-549000000.0,17917000000.0,0.0,4977000000.0,3328000000.0,0.0,6780000000.0,402342105.0,3034000000.0,417000000.0,10084000000.0,300000000.0,315000000.0,17762000000.0,0.0,15000000.0,12049000000.0,0.0,22994000000.0,12812000000.0,908000000.0,346000000.0,0.0,5077000000.0,55000000.0,-82000000.0,251000000.0,28000000.0,287000000.0,-100000000.0,-36000000.0,21000000.0,0.0,-81000000.0,-69000000.0,2000000.0,23000000.0,-210000000.0,3148000000.0,266000000.0,1039000000.0,771000000.0,23000000.0,487000000.0,274000000.0,0.0,0.0,1467000000.0,402900000.0,8000000.0,1681000000.0,0.66,143000000.0,0.0,402600000.0,266000000.0,428000000.0,0.66,432000000.0,289000000.0,17.0352541154001,0.0932551889388984,-0.0331695331695332,7.0,0.348752724630661,1.2,7.82418732933755,0.466010165184244,6854000000.0,0.466010165184244,1.52554086538462,1.48510324483776
