,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.inventory,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxAssets,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.ncf,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.costRev,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.opex,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.bookVal,statementData.overview.piotroskiFScore,statementData.overview.currentRatio,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.revenueQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,836000000.0,44000000.0,1386000000.0,4658000000.0,3625000000.0,109069013.0,1420000000.0,0.0,6146000000.0,2848000000.0,0.0,0.0,1474000000.0,901000000.0,381000000.0,0.0,2521000000.0,-1768000000.0,802000000.0,758000000.0,1226000000.0,3432000000.0,-91000000.0,34000000.0,0.0,296000000.0,0.0,4000000.0,0.0,-82000000.0,207000000.0,201000000.0,0.0,63000000.0,-82000000.0,0.0,6000000.0,283000000.0,2000000.0,0.0,0.0,64000000.0,0.05,5000000.0,5000000.0,0.0,1218000000.0,22000000.0,0.05,10000000.0,15000000.0,100000000.0,133000000.0,0.0,109069013.0,1415000000.0,5000000.0,8000000.0,197000000.0,37000000.0,59000000.0,0.139222614840989,13.6427382908471,1488000000.0,5.0,2.05628058727569,0.0884315906562848,0.25,12.973437285987,0.139222614840989,-0.21606648199446,0.940298507462687,0.0271725198667008
1,2020-06-30 00:00:00+00:00,2,2020,683000000.0,54000000.0,1385000000.0,4573000000.0,3723000000.0,109052877.0,1418000000.0,0.0,5733000000.0,2864000000.0,0.0,0.0,1146000000.0,678000000.0,374000000.0,0.0,2010000000.0,-1848000000.0,595000000.0,683000000.0,1084000000.0,3489000000.0,-92000000.0,33000000.0,0.0,381000000.0,0.0,-643000000.0,0.0,-20000000.0,-633000000.0,9000000.0,85000000.0,68000000.0,-21000000.0,1000000.0,5000000.0,30000000.0,0.0,0.0,0.0,-67000000.0,-0.84,-92000000.0,-92000000.0,0.0,1046000000.0,40000000.0,-0.84,-31000000.0,-123000000.0,-15000000.0,208000000.0,0.0,109052877.0,1187000000.0,-92000000.0,8000000.0,141000000.0,-83000000.0,55000000.0,0.118786857624263,10.6370416985881,1160000000.0,5.0,1.85424354243542,0.0680628272251309,-3.21052631578947,10.8846280139863,0.118786857624263,-0.382735309412377,1.20855148342059,0.0235827664399093
2,2020-03-31 00:00:00+00:00,1,2020,938000000.0,43000000.0,1514000000.0,4843000000.0,3556000000.0,109021376.0,1553000000.0,0.0,6469000000.0,2805000000.0,0.0,0.0,1613000000.0,844000000.0,374000000.0,0.0,2913000000.0,-1432000000.0,1228000000.0,799000000.0,1279000000.0,3564000000.0,-92000000.0,39000000.0,0.0,327000000.0,0.0,1374000000.0,0.0,78000000.0,1156000000.0,-318000000.0,1158000000.0,60000000.0,-23000000.0,101000000.0,7000000.0,-295000000.0,-1000000.0,0.0,0.0,152000000.0,0.55,60000000.0,60000000.0,0.0,1327000000.0,35000000.0,0.55,31000000.0,91000000.0,186000000.0,132000000.0,0.0,109021376.0,1611000000.0,60000000.0,11000000.0,284000000.0,126000000.0,80000000.0,0.176288019863439,14.9145063074603,1626000000.0,5.0,2.27756059421423,0.0991374604214434,-3.21052631578947,14.776918610897,0.176288019863439,-0.124932102118414,0.938623682579045,0.0430087154225085
3,2019-12-31 00:00:00+00:00,4,2019,1061000000.0,180000000.0,346000000.0,2085000000.0,3301000000.0,112700000.0,379000000.0,0.0,5058000000.0,2869000000.0,0.0,0.0,2959000000.0,1137000000.0,386000000.0,0.0,1757000000.0,295000000.0,72000000.0,520000000.0,1341000000.0,744000000.0,0.0,33000000.0,0.0,14000000.0,0.0,-227000000.0,0.0,-61000000.0,25000000.0,231000000.0,0.0,62000000.0,-81000000.0,20000000.0,12000000.0,312000000.0,1000000.0,0.0,0.0,101000000.0,0.55,186000000.0,186000000.0,0.0,1460000000.0,29000000.0,0.55,-103000000.0,83000000.0,174000000.0,147000000.0,0.0,112700000.0,1708000000.0,186000000.0,11000000.0,248000000.0,112000000.0,91000000.0,0.14519906323185,26.379769299024,2973000000.0,8.0,1.31021625652498,0.0789373814041746,-3.21052631578947,15.1552795031056,0.14519906323185,-0.0558319513543394,0.116931395741805,0.0425684318239959
5,2019-09-30 00:00:00+00:00,3,2019,1056000000.0,151000000.0,347000000.0,2854000000.0,3255000000.0,112700000.0,378000000.0,0.0,4790000000.0,2838000000.0,0.0,0.0,1922000000.0,877000000.0,380000000.0,0.0,1535000000.0,310000000.0,47000000.0,562000000.0,2143000000.0,711000000.0,0.0,31000000.0,0.0,2000000.0,0.0,-78000000.0,0.0,-38000000.0,1000000.0,80000000.0,0.0,63000000.0,-38000000.0,0.0,10000000.0,118000000.0,-1000000.0,0.0,0.0,22000000.0,-0.22,-24000000.0,-24000000.0,0.0,1565000000.0,29000000.0,-0.22,17000000.0,-7000000.0,85000000.0,218000000.0,0.0,112700000.0,1805000000.0,-24000000.0,9000000.0,240000000.0,22000000.0,82000000.0,0.132963988919668,17.1783496007099,1936000000.0,4.0,0.716285580961269,0.0789373814041746,-3.21052631578947,16.0159716060337,0.132963988919668,-0.0558319513543394,0.18054110301769,0.0425684318239959
6,2019-06-30 00:00:00+00:00,2,2019,1056000000.0,151000000.0,347000000.0,2854000000.0,3255000000.0,112700000.0,378000000.0,0.0,4790000000.0,2838000000.0,0.0,0.0,1922000000.0,877000000.0,380000000.0,0.0,1535000000.0,310000000.0,47000000.0,562000000.0,2143000000.0,711000000.0,0.0,31000000.0,0.0,2000000.0,0.0,-4000000.0,0.0,-33000000.0,0.0,-2000000.0,0.0,64000000.0,-40000000.0,7000000.0,12000000.0,38000000.0,-1000000.0,0.0,0.0,52000000.0,0.04,5000000.0,5000000.0,0.0,1671000000.0,29000000.0,0.04,8000000.0,13000000.0,106000000.0,200000000.0,0.0,112700000.0,1923000000.0,5000000.0,11000000.0,252000000.0,42000000.0,87000000.0,0.131045241809672,17.1783496007099,1936000000.0,5.0,0.716285580961269,0.0789373814041746,-3.21052631578947,17.0629991126886,0.131045241809672,-0.0558319513543394,0.18054110301769,0.0425684318239959
7,2019-03-31 00:00:00+00:00,1,2019,1056000000.0,151000000.0,347000000.0,2854000000.0,3255000000.0,112700000.0,378000000.0,0.0,4790000000.0,2838000000.0,0.0,0.0,1922000000.0,877000000.0,380000000.0,0.0,1535000000.0,310000000.0,47000000.0,562000000.0,2143000000.0,711000000.0,0.0,31000000.0,0.0,2000000.0,0.0,14000000.0,0.0,-38000000.0,-35000000.0,-53000000.0,0.0,63000000.0,-42000000.0,4000000.0,6000000.0,-11000000.0,0.0,0.0,0.0,80000000.0,0.38,41000000.0,41000000.0,0.0,1596000000.0,28000000.0,0.38,25000000.0,66000000.0,157000000.0,165000000.0,0.0,112700000.0,1841000000.0,41000000.0,14000000.0,245000000.0,94000000.0,86000000.0,0.133079847908745,17.1783496007099,1936000000.0,3.0,0.716285580961269,0.0789373814041746,-3.21052631578947,16.3354037267081,0.133079847908745,-0.0558319513543394,0.18054110301769,0.0425684318239959
8,2018-12-31 00:00:00+00:00,4,2018,1165000000.0,119000000.0,250000000.0,2118000000.0,3319000000.0,112700000.0,250000000.0,0.0,4795000000.0,2861000000.0,0.0,0.0,2665000000.0,818000000.0,385000000.0,0.0,1476000000.0,250000000.0,81000000.0,535000000.0,1393000000.0,725000000.0,0.0,0.0,0.0,15000000.0,0.0,-410000000.0,0.0,180000000.0,-33000000.0,75000000.0,0.0,74000000.0,-122000000.0,302000000.0,4000000.0,197000000.0,0.0,0.0,0.0,162000000.0,0.38,99000000.0,99000000.0,0.0,1597000000.0,30000000.0,0.38,38000000.0,137000000.0,241000000.0,50000000.0,0.0,112700000.0,1809000000.0,99000000.0,16000000.0,212000000.0,167000000.0,64000000.0,0.117191818684356,23.7533274179237,2677000000.0,3.0,1.05958363244795,0.0789373814041746,-3.21052631578947,16.0514640638864,0.117191818684356,-0.0558319513543394,0.0938086303939962,0.0425684318239959
