,date,quarter,year,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-30 00:00:00+00:00,1,2021,22400000.0,2700000.0,0.0,3388600000.0,317300000.0,-126500000.0,316100000.0,1451600000.0,445300000.0,1676600000.0,334600000.0,0.0,507000000.0,2040900000.0,95300000.0,0.0,1937000000.0,2577700000.0,0.0,1347700000.0,0.0,576100000.0,553700000.0,868200000.0,583400000.0,37421813.0,-14100000.0,-11000000.0,600000.0,-164100000.0,7700000.0,-53700000.0,-5000000.0,0.0,98800000.0,-254900000.0,0.0,112900000.0,123900000.0,25000000.0,109100000.0,59600000.0,1.57,59600000.0,0.0,37800000.0,4900000.0,0.0,1.58,0.0,332400000.0,37600000.0,246700000.0,79200000.0,59600000.0,792000000.0,84100000.0,19600000.0,85700000.0,246000000.0,459600000.0,0.0,0.0731524203129897,-0.0511561039894572,1937000000.0,2.31007884813164,0.0972222222222223,0.41969696969697,21.1641269224449,0.285854414042334,0.41969696969697,51.7612548595655,5.0,0.122311189109478
1,2020-08-31 00:00:00+00:00,4,2020,41500000.0,2700000.0,0.0,3491700000.0,326500000.0,-132700000.0,320100000.0,1364200000.0,500300000.0,1685900000.0,333900000.0,0.0,560700000.0,2052000000.0,94900000.0,0.0,2127500000.0,2523300000.0,0.0,1439700000.0,0.0,475100000.0,433600000.0,746600000.0,617600000.0,39637386.0,-16800000.0,-16600000.0,7500000.0,-77100000.0,5700000.0,40100000.0,-5200000.0,0.0,-2500000.0,-69100000.0,0.0,109900000.0,126500000.0,25800000.0,127300000.0,73700000.0,1.87,73700000.0,0.0,39300000.0,3900000.0,0.0,1.87,0.0,375100000.0,39500000.0,269200000.0,97600000.0,73700000.0,891200000.0,101500000.0,23900000.0,105900000.0,261000000.0,516100000.0,0.0,0.0728371431295331,-0.0499946700778169,2127500000.0,2.33112046632124,-0.230452674897119,0.420893177737881,22.483823731464,0.203807285546416,0.420893177737881,53.6740742691761,5.0,0.120306216386453
3,2020-05-31 00:00:00+00:00,3,2020,34000000.0,1900000.0,0.0,3442300000.0,331300000.0,-161600000.0,355300000.0,1346600000.0,451300000.0,1699300000.0,331800000.0,0.0,520600000.0,2062000000.0,119200000.0,0.0,2095700000.0,2454800000.0,0.0,1380300000.0,0.0,466200000.0,432200000.0,770700000.0,575900000.0,39641456.0,-13500000.0,-13400000.0,-2000000.0,-8100000.0,7800000.0,140000000.0,-5200000.0,-100000.0,-2700000.0,200000.0,0.0,150200000.0,163600000.0,25500000.0,109400000.0,60400000.0,1.52,60400000.0,0.0,39700000.0,5400000.0,0.0,1.53,0.0,327600000.0,39500000.0,244600000.0,78500000.0,60400000.0,776200000.0,83900000.0,18100000.0,83000000.0,241300000.0,448600000.0,0.0,0.0813120466185062,-0.180878007598143,2095700000.0,2.39677027261677,-0.31390134529148,0.422056171089925,19.580511876254,0.206231807987785,0.422056171089925,52.8663730212129,5.0,0.13455946315397
4,2020-02-29 00:00:00+00:00,2,2020,32000000.0,2100000.0,0.0,3396700000.0,333500000.0,-149600000.0,348600000.0,1351600000.0,506700000.0,1718400000.0,338700000.0,0.0,380600000.0,2088900000.0,117800000.0,0.0,2045100000.0,2399600000.0,0.0,1307800000.0,0.0,470900000.0,438900000.0,779400000.0,572200000.0,39619706.0,-14400000.0,-13100000.0,-1100000.0,44400000.0,8000000.0,114000000.0,-5200000.0,-900000.0,49900000.0,300000.0,0.0,72000000.0,85100000.0,25600000.0,106000000.0,57200000.0,1.44,57200000.0,0.0,39700000.0,5700000.0,0.0,1.45,0.0,343900000.0,39500000.0,262500000.0,74700000.0,57200000.0,824200000.0,80400000.0,17500000.0,81400000.0,260900000.0,480300000.0,0.0,0.0919402250026933,-0.0353464419475655,2045100000.0,2.28556448794128,-0.136904761904762,0.417253093909245,20.8027793038141,0.214610532492299,0.417253093909245,51.6182527957174,5.0,0.152471861361374
5,2019-11-30 00:00:00+00:00,1,2020,25900000.0,2300000.0,0.0,3305200000.0,321700000.0,-147600000.0,352600000.0,1317900000.0,507700000.0,1737000000.0,338500000.0,0.0,266600000.0,2098800000.0,122700000.0,0.0,1987300000.0,2347600000.0,0.0,1206400000.0,0.0,422400000.0,396500000.0,745300000.0,572600000.0,39643111.0,-315100000.0,-11600000.0,600000.0,-9500000.0,16700000.0,-194400000.0,-5200000.0,-302000000.0,-400000.0,200000.0,0.0,118000000.0,129600000.0,24200000.0,106400000.0,57000000.0,1.44,57000000.0,0.0,39600000.0,8300000.0,0.0,1.44,0.0,355800000.0,39500000.0,272200000.0,73900000.0,57000000.0,834700000.0,82200000.0,16900000.0,83600000.0,265300000.0,478900000.0,0.0,0.0977880147730432,-0.104975337765387,1987300000.0,2.10688089416696,-0.276381909547739,0.426260932071403,21.0553606653121,0.199516932521512,0.426260932071403,50.1297690789202,7.0,0.162151483622858
6,2019-08-31 00:00:00+00:00,4,2019,9100000.0,2300000.0,0.0,3172400000.0,338800000.0,-151400000.0,340800000.0,1253500000.0,561000000.0,1433300000.0,277300000.0,0.0,461000000.0,1730600000.0,92700000.0,0.0,1918900000.0,2295800000.0,0.0,1441800000.0,0.0,356600000.0,347500000.0,657400000.0,596100000.0,39899076.0,-16100000.0,-13200000.0,-100000.0,-39200000.0,6300000.0,127300000.0,-5200000.0,-2900000.0,-100000.0,-32800000.0,0.0,169500000.0,182700000.0,22600000.0,150800000.0,96100000.0,2.42,96100000.0,0.0,39500000.0,7700000.0,0.0,2.43,0.0,394700000.0,39400000.0,264400000.0,120500000.0,96100000.0,938100000.0,128200000.0,24400000.0,130300000.0,263900000.0,543400000.0,0.0,0.107441913402598,-0.116000753863551,1918900000.0,2.41872169099144,-0.0932835820895522,0.420744057136766,23.5118226798034,0.181093334723018,0.420744057136766,48.0938455817874,7.0,0.179650649085842
8,2019-05-31 00:00:00+00:00,3,2019,9100000.0,2800000.0,0.0,3121100000.0,378800000.0,-122100000.0,390600000.0,1236200000.0,586000000.0,1437200000.0,280500000.0,0.0,333700000.0,1741800000.0,89600000.0,0.0,1884900000.0,2204900000.0,0.0,1379300000.0,0.0,356600000.0,347500000.0,605200000.0,631000000.0,39907302.0,-14900000.0,-14900000.0,-1500000.0,-5600000.0,7600000.0,101700000.0,-5100000.0,0.0,-100000.0,200000.0,0.0,108800000.0,123700000.0,22400000.0,142500000.0,88400000.0,2.22,88400000.0,0.0,39800000.0,8300000.0,0.0,2.23,0.0,383600000.0,39700000.0,263300000.0,111800000.0,88400000.0,947600000.0,120100000.0,23400000.0,120300000.0,263400000.0,564000000.0,0.0,0.11306428984072,0.00381355932203387,1884900000.0,2.18589540412044,0.232044198895027,0.404812157028282,23.7450279149415,0.184359912992732,0.404812157028282,47.2319577003727,7.0,0.191490551269149
9,2019-02-28 00:00:00+00:00,2,2019,7000000.0,2900000.0,0.0,2991800000.0,351100000.0,-114700000.0,413000000.0,1190000000.0,520100000.0,1450900000.0,284200000.0,0.0,232000000.0,1759200000.0,89800000.0,0.0,1801800000.0,2121600000.0,0.0,1232600000.0,0.0,356700000.0,349700000.0,605600000.0,584400000.0,39892387.0,-10700000.0,-10900000.0,700000.0,-29300000.0,7500000.0,17200000.0,-5300000.0,0.0,-100000.0,-23500000.0,0.0,45600000.0,56500000.0,22000000.0,116800000.0,66300000.0,1.67,66300000.0,0.0,39600000.0,8600000.0,0.0,1.68,0.0,333900000.0,39500000.0,238000000.0,86200000.0,66300000.0,854400000.0,94800000.0,19900000.0,95900000.0,237600000.0,520500000.0,0.0,0.110150442403374,0.0267996635019829,1801800000.0,2.10917180013689,-0.282051282051282,0.390800561797753,21.4176203594937,0.194083694083694,0.390800561797753,45.1665125980052,5.0,0.190454009519789
10,2018-11-30 00:00:00+00:00,1,2019,400000.0,2900000.0,0.0,3015300000.0,389700000.0,-121000000.0,420200000.0,1264400000.0,556700000.0,1456400000.0,283000000.0,0.0,214800000.0,1763500000.0,88700000.0,0.0,1750900000.0,2060600000.0,0.0,1251800000.0,0.0,356700000.0,356300000.0,612400000.0,652000000.0,40182832.0,-11300000.0,-14000000.0,-700000.0,-34100000.0,7800000.0,85700000.0,-5200000.0,0.0,-100000.0,-24900000.0,0.0,117800000.0,131800000.0,21300000.0,136400000.0,79600000.0,1.98,79600000.0,0.0,40100000.0,8700000.0,0.0,1.99,0.0,367500000.0,40000000.0,251100000.0,106400000.0,79600000.0,932600000.0,115100000.0,26800000.0,116400000.0,250100000.0,565100000.0,0.0,0.122952651026897,0.106549596582819,1750900000.0,1.91993865030675,0.16374269005848,0.394059618271499,23.2089166836225,0.203495345251014,0.394059618271499,43.5733350003803,7.0,0.213428004594341
11,2018-08-31 00:00:00+00:00,4,2018,400000.0,2900000.0,0.0,2988800000.0,451100000.0,-114800000.0,411800000.0,1272000000.0,637900000.0,1469300000.0,286700000.0,0.0,129100000.0,1777700000.0,92500000.0,0.0,1716800000.0,1999200000.0,0.0,1211100000.0,0.0,356800000.0,356400000.0,589300000.0,682700000.0,40181023.0,-9300000.0,-11400000.0,-300000.0,-7400000.0,7900000.0,34800000.0,-5200000.0,1400000.0,-1300000.0,100000.0,0.0,40400000.0,51800000.0,21800000.0,167900000.0,108200000.0,2.67,108200000.0,0.0,40100000.0,9000000.0,0.0,2.68,0.0,411900000.0,40000000.0,268200000.0,137100000.0,108200000.0,1061200000.0,146100000.0,28900000.0,143700000.0,273300000.0,649300000.0,0.0,0.12072761177923,0.108187134502924,1716800000.0,1.77398564523217,0.246511627906977,0.388145495665285,26.4104774037236,0.207595526561044,0.388145495665285,42.7266373979577,5.0,0.209369525834319
13,2018-05-31 00:00:00+00:00,3,2018,1600000.0,3100000.0,0.0,2882400000.0,464500000.0,-121100000.0,406500000.0,1282000000.0,572600000.0,1475100000.0,288000000.0,0.0,94300000.0,1776600000.0,87900000.0,0.0,1600400000.0,1896200000.0,0.0,1105800000.0,0.0,358000000.0,356400000.0,609900000.0,672100000.0,40999421.0,-148100000.0,-11300000.0,-900000.0,-108600000.0,7600000.0,-135500000.0,-5300000.0,-137100000.0,1100000.0,-103900000.0,0.0,110800000.0,122100000.0,20200000.0,127800000.0,73000000.0,1.8,73000000.0,0.0,40500000.0,8400000.0,0.0,1.81,0.0,389100000.0,40400000.0,281700000.0,99200000.0,73000000.0,944000000.0,107600000.0,26200000.0,107400000.0,271800000.0,554900000.0,0.0,0.115504745995702,0.0587707492148946,1600400000.0,1.64529087933343,-0.0523560209424083,0.412182203389831,23.0247153978101,0.222694326418395,0.412182203389831,39.0346975875586,6.0,0.200304772250637
