,date,quarter,year,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.ncfi,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.costRev,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.piotroskiFScore,statementData.overview.longTermDebtEquity,statementData.overview.bvps,statementData.overview.epsQoQ,statementData.overview.profitMargin,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.roe
0,2018-09-30 00:00:00+00:00,3,2018,16674000000.0,0.0,3714000000.0,13229000000.0,0.0,3305000000.0,1697000000.0,13913000000.0,-4656000000.0,9369000000.0,600000000.0,1852000000.0,287575784.0,3860000000.0,978000000.0,8312000000.0,0.0,0.0,19979000000.0,0.0,0.0,6615000000.0,6232000000.0,0.0,11725000000.0,622000000.0,25000000.0,-15000000.0,871000000.0,491000000.0,306000000.0,-133000000.0,121000000.0,19000000.0,2000000.0,-380000000.0,-238000000.0,0.0,-357000000.0,-378000000.0,654000000.0,461000000.0,963000000.0,0.0,40000000.0,288093000.0,1310000000.0,0.0,3024000000.0,461000000.0,23000000.0,1714000000.0,1.58,294000000.0,291513000.0,156000000.0,657000000.0,480000000.0,1.6,617000000.0,656000000.0,19000000.0,6750000000.0,0.856217616580311,6.0,1.06145699614891,23.4720737125766,0.0958904109589043,0.433201058201058,0.0710512969583019,0.0349075975359343,10.5154890232343,0.433201058201058,0.233069588151755
1,2018-06-30 00:00:00+00:00,2,2018,16672000000.0,0.0,3725000000.0,13294000000.0,0.0,3164000000.0,1229000000.0,13690000000.0,-4596000000.0,10015000000.0,479000000.0,1877000000.0,287369483.0,3279000000.0,967000000.0,8458000000.0,0.0,0.0,19836000000.0,0.0,0.0,7229000000.0,6027000000.0,0.0,11701000000.0,606000000.0,14000000.0,-51000000.0,790000000.0,439000000.0,311000000.0,-277000000.0,-66000000.0,17000000.0,62000000.0,-351000000.0,-237000000.0,0.0,-516000000.0,-289000000.0,666000000.0,480000000.0,993000000.0,0.0,44000000.0,287803000.0,1338000000.0,0.0,3061000000.0,480000000.0,24000000.0,1723000000.0,1.65,307000000.0,290908000.0,158000000.0,682000000.0,499000000.0,1.67,638000000.0,672000000.0,19000000.0,6542000000.0,0.964928331808478,6.0,1.19943587190974,22.7651173385032,0.176056338028169,0.437112054884025,0.068636984699467,0.0800988002822864,10.6517921389725,0.437112054884025,0.226032672585026
2,2018-03-31 00:00:00+00:00,1,2018,17263000000.0,0.0,3821000000.0,13695000000.0,0.0,3329000000.0,1506000000.0,13447000000.0,-3980000000.0,10161000000.0,545000000.0,1900000000.0,287136596.0,3534000000.0,988000000.0,8842000000.0,0.0,0.0,20592000000.0,0.0,0.0,7336000000.0,6368000000.0,0.0,12113000000.0,619000000.0,29000000.0,-13000000.0,688000000.0,363000000.0,311000000.0,-215000000.0,-72000000.0,4000000.0,7000000.0,-325000000.0,-237000000.0,0.0,-429000000.0,-318000000.0,664000000.0,462000000.0,967000000.0,0.0,46000000.0,287504000.0,1322000000.0,0.0,2999000000.0,462000000.0,24000000.0,1677000000.0,1.59,310000000.0,290809000.0,148000000.0,656000000.0,472000000.0,1.61,610000000.0,658000000.0,10000000.0,6897000000.0,0.94199207696661,7.0,1.15201005025126,24.0199267389797,0.183823529411765,0.440813604534845,0.0648903745944352,0.0993401759530792,10.4445063491663,0.440813604534845,0.215959752955131
