,date,quarter,year,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-30 00:00:00+00:00,2,2021,2700980000.0,0.0,0.0,5351980000.0,56802000.0,3320677000.0,-97407000.0,274021000.0,3597960000.0,7509544000.0,252454000.0,376414000.0,1498355000.0,292554000.0,703175000.0,8454753000.0,0.0,910266000.0,534128000.0,1508472000.0,4856793000.0,252454000.0,2408426000.0,3102773000.0,3348321000.0,104625384.0,43000.0,33036000.0,18478000.0,96475000.0,0.0,32218000.0,-2265000.0,260672000.0,0.0,281633000.0,28547000.0,-26783000.0,-11300000.0,233889000.0,0.0,0.0,0.0,2.69,24557000.0,937164000.0,467012000.0,284857000.0,284857000.0,1757048000.0,352872000.0,0.0,43676000.0,104625384.0,467012000.0,2.62,449565000.0,328533000.0,284857000.0,819884000.0,353090000.0,0.120232869355562,-0.0470242966911439,3597960000.0,2.05689797357856,0.14468085106383,0.466625840614485,16.7937065827161,0.669386541262271,0.466625840614485,34.388977726476,5.0,0.280176642306595
1,2020-08-31 00:00:00+00:00,1,2021,2705396000.0,0.0,0.0,5377204000.0,0.0,3327689000.0,-115950000.0,252513000.0,3604804000.0,7596514000.0,240431000.0,408400000.0,1537505000.0,293222000.0,421542000.0,8043381000.0,0.0,866414000.0,488165000.0,1093350000.0,4438577000.0,240431000.0,2412174000.0,2666177000.0,3345227000.0,103499012.0,1547000.0,3112000.0,-1984000.0,96179000.0,0.0,2243000.0,-4940000.0,312292000.0,0.0,276140000.0,29055000.0,-30876000.0,-39942000.0,281416000.0,0.0,0.0,0.0,2.86,24550000.0,920374000.0,476495000.0,300005000.0,300005000.0,1746575000.0,349706000.0,0.0,25215000.0,103499012.0,476495000.0,2.78,445949000.0,325220000.0,300005000.0,826201000.0,349770000.0,0.117479890458506,-0.0356482854159731,3604804000.0,2.43853935153428,0.191666666666667,0.473040665302091,16.875281862594,0.669155382650485,0.473040665302091,34.8293566319261,7.0,0.278908773155449
2,2020-05-31 00:00:00+00:00,4,2020,2705431000.0,0.0,0.0,5360186000.0,0.0,3321549000.0,-153380000.0,230995000.0,3235202000.0,7296509000.0,214847000.0,415678000.0,1563032000.0,43031000.0,145402000.0,7669885000.0,0.0,870369000.0,408898000.0,885195000.0,4434683000.0,214847000.0,2662400000.0,2309699000.0,3549488000.0,104050202.0,-2140000.0,-194219000.0,-5870000.0,96560000.0,86000.0,-394915000.0,430000.0,356934000.0,-200000000.0,-89039000.0,19007000.0,-40910000.0,-48918000.0,316024000.0,0.0,0.0,0.0,1.38,25952000.0,911764000.0,500386000.0,144585000.0,144585000.0,1619584000.0,207434000.0,323000.0,37093000.0,104050202.0,500386000.0,1.35,304190000.0,181678000.0,144585000.0,707820000.0,207630000.0,0.112597169598943,-0.0970859605403266,3235202000.0,2.60925445805726,-0.352112676056338,0.437038153007192,15.565409474169,0.822947067911061,0.437038153007192,31.0927027320908,5.0,0.275587610311984
4,2020-02-29 00:00:00+00:00,3,2020,2909993000.0,0.0,0.0,5404274000.0,23485000.0,3338848000.0,-94814000.0,243248000.0,3324309000.0,7151838000.0,212798000.0,423677000.0,1600035000.0,243843000.0,234441000.0,7901980000.0,0.0,942853000.0,352924000.0,1066646000.0,4577671000.0,212798000.0,2666150000.0,2497706000.0,3511025000.0,103750798.0,-185000.0,15760000.0,-41268000.0,96163000.0,-268042000.0,-250300000.0,-340000.0,363198000.0,0.0,7906000.0,27030000.0,-63212000.0,-104807000.0,299986000.0,0.0,0.0,0.0,2.23,25943000.0,986253000.0,509743000.0,234520000.0,234520000.0,1810648000.0,314652000.0,0.0,54536000.0,103750798.0,509743000.0,2.16,411162000.0,289056000.0,234520000.0,824395000.0,314999000.0,0.124006054284271,0.0762739771626257,3324309000.0,2.34164474436692,0.167539267015707,0.455303847020514,17.4518946832582,0.80201629872554,0.455303847020514,32.0412860824454,6.0,0.30684724930636
5,2019-11-30 00:00:00+00:00,2,2020,2913237000.0,0.0,0.0,5397050000.0,24878000.0,3322734000.0,-36835000.0,254611000.0,3104970000.0,6917310000.0,218873000.0,443857000.0,1594817000.0,244051000.0,226535000.0,7887337000.0,0.0,949122000.0,348304000.0,1297251000.0,4782367000.0,218873000.0,2669186000.0,2490287000.0,3485116000.0,103499651.0,-127000.0,23375000.0,10614000.0,94336000.0,0.0,-116385000.0,-730000.0,294450000.0,-139000000.0,124404000.0,29003000.0,-61424000.0,-53534000.0,233026000.0,0.0,0.0,0.0,2.35,26177000.0,991358000.0,517927000.0,246120000.0,246120000.0,1843749000.0,334464000.0,323000.0,62127000.0,103499651.0,517927000.0,2.27,428760000.0,308247000.0,246120000.0,852391000.0,334424000.0,0.121814337164244,0.0730276068692428,3104970000.0,1.91966473720198,0.0444444444444445,0.462314013458448,17.8140600686663,0.859649529625085,0.462314013458448,29.9998113037115,6.0,0.300338250733168
6,2019-08-31 00:00:00+00:00,1,2020,3045527000.0,0.0,0.0,5372082000.0,0.0,3332590000.0,-60651000.0,237242000.0,3050706000.0,6939240000.0,208987000.0,445993000.0,1585440000.0,381786000.0,102131000.0,7661900000.0,0.0,917535000.0,336290000.0,1122882000.0,4611194000.0,208987000.0,2663741000.0,2289818000.0,3488312000.0,102487039.0,331000.0,-218915000.0,-3896000.0,91994000.0,0.0,-193607000.0,-9391000.0,276901000.0,26500000.0,5486000.0,40395000.0,-64743000.0,-78139000.0,212158000.0,0.0,0.0,0.0,2.4,27321000.0,961997000.0,542996000.0,250812000.0,250812000.0,1811139000.0,306146000.0,0.0,28175000.0,102487039.0,542996000.0,2.32,398302000.0,278987000.0,250812000.0,849142000.0,306308000.0,0.123361484819716,0.0666464465024514,3050706000.0,2.03923297372297,0.224489795918367,0.468844191417666,17.6718833685887,0.873155590869786,0.468844191417666,29.7667493350062,7.0,0.301228621511802
7,2019-05-31 00:00:00+00:00,4,2019,2849771000.0,0.0,0.0,5200382000.0,7475000.0,3337036000.0,-39152000.0,226020000.0,3002721000.0,6691236000.0,192346000.0,438179000.0,1430685000.0,312264000.0,96645000.0,7436662000.0,0.0,910120000.0,334589000.0,1127733000.0,4433941000.0,192346000.0,2537507000.0,2236280000.0,3306208000.0,104570866.0,-728000.0,-396979000.0,-2410000.0,93764000.0,-4000.0,-308007000.0,-297000.0,397145000.0,95000000.0,15786000.0,33657000.0,-68914000.0,-72624000.0,328231000.0,0.0,0.0,0.0,2.13,25782000.0,970165000.0,509154000.0,226119000.0,226119000.0,1793730000.0,314411000.0,-2346000.0,62729000.0,104570866.0,508240000.0,2.06,408394000.0,288848000.0,226119000.0,823565000.0,314630000.0,0.119743235224535,0.0743793237698782,3002721000.0,1.98298710776398,0.245614035087719,0.459135432868938,17.1532480184299,0.845069188912323,0.459135432868938,28.7146995607744,6.0,0.281943781273832
9,2019-02-28 00:00:00+00:00,3,2019,2754458000.0,0.0,0.0,5209917000.0,42552000.0,3356185000.0,412000.0,214567000.0,3179492000.0,6465121000.0,191818000.0,439011000.0,1424063000.0,217500000.0,80859000.0,7433673000.0,0.0,878037000.0,339805000.0,994351000.0,4254181000.0,191818000.0,2536958000.0,2223756000.0,3259830000.0,104543895.0,523000.0,-78433000.0,2377000.0,91658000.0,-220760000.0,-257919000.0,-3473000.0,326150000.0,44000000.0,-7620000.0,30769000.0,-70191000.0,-76374000.0,255959000.0,0.0,0.0,0.0,1.91,26770000.0,927177000.0,476898000.0,203334000.0,203334000.0,1682330000.0,278255000.0,0.0,50632000.0,104543895.0,476099000.0,1.85,372394000.0,253966000.0,203334000.0,755153000.0,280736000.0,0.116218944364726,0.058643113436341,3179492000.0,2.23638936351449,-0.315412186379928,0.448873288831561,16.0920922259497,0.797912999938355,0.448873288831561,30.4129858563238,6.0,0.268921167008639
10,2018-11-30 00:00:00+00:00,2,2019,2709908000.0,0.0,0.0,5189213000.0,36595000.0,3366749000.0,3865000.0,211900000.0,3027244000.0,6261756000.0,183548000.0,435461000.0,1410530000.0,173500000.0,88479000.0,7405083000.0,0.0,904062000.0,321874000.0,1114686000.0,4377839000.0,183548000.0,2536408000.0,2215870000.0,3263153000.0,106895748.0,-733000.0,-363561000.0,1033000.0,88376000.0,0.0,-194871000.0,57713000.0,181582000.0,173500000.0,-29877000.0,28612000.0,-73086000.0,-15855000.0,108496000.0,0.0,0.0,0.0,2.25,24880000.0,943110000.0,499518000.0,243013000.0,243013000.0,1718268000.0,275640000.0,-19000.0,77530000.0,106895748.0,491671000.0,2.18,433799000.0,320543000.0,243013000.0,775158000.0,345423000.0,0.132095720039271,0.0696116446231141,3027244000.0,1.98788717181341,0.785714285714286,0.451127530746077,16.0742408575503,0.837860443360363,0.451127530746077,28.3195922816313,6.0,0.307331279940507
11,2018-08-31 00:00:00+00:00,1,2019,2535859000.0,0.0,0.0,5182826000.0,6878000.0,3385947000.0,9861000.0,214011000.0,3345968000.0,6239535000.0,180262000.0,424344000.0,1394634000.0,0.0,118356000.0,7287204000.0,0.0,838192000.0,303770000.0,679094000.0,3941236000.0,180262000.0,2535859000.0,2104378000.0,3262142000.0,106279307.0,-60000.0,-111956000.0,-7613000.0,86295000.0,0.0,-112508000.0,1558000.0,162985000.0,0.0,-20368000.0,46172000.0,-64528000.0,-70785000.0,98457000.0,0.0,0.0,0.0,1.96,24304000.0,923263000.0,509484000.0,212515000.0,212515000.0,1697975000.0,265228000.0,32000.0,28873000.0,106279307.0,504634000.0,1.89,351987000.0,241388000.0,212515000.0,774712000.0,265692000.0,0.119048853805439,0.053659223718479,3345968000.0,3.09880222767393,-0.0297029702970297,0.456256423092213,15.9765343596002,0.757885012648059,0.456256423092213,31.4827796157911,7.0,0.283801447035461
