,year,quarter,date,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.inventory,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebt,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,0.0,0.0,47151000000.0,3379000000.0,2476000000.0,3016000000.0,2011000000.0,5779000000.0,11750000000.0,32500000000.0,123158000000.0,78617000000.0,1056130748.0,0.0,4784000000.0,2011000000.0,51935000000.0,10574000000.0,799000000.0,112584000000.0,88188000000.0,2285000000.0,14922000000.0,496000000.0,90367000000.0,,2208000000.0,-2237000000.0,-2100000000.0,-45000000.0,15000000.0,2373000000.0,0.0,4000000.0,1498000000.0,1362000000.0,0.0,987000000.0,273000000.0,-676000000.0,0.0,0.0,5620000000.0,4000000.0,1548000000.0,889000000.0,1058000000.0,1283000000.0,443000000.0,293000000.0,2724000000.0,1064000000.0,1.18,1.18,1251000000.0,2896000000.0,28000000.0,1835000000.0,1255000000.0,2978000000.0,1991000000.0,0.0,6.0,-0.0625521267723103,0.484697508896797,0.899914893617021,32791000000.0,0.484697508896797,5.32131084209282,-0.0634920634920636,1.4508,0.0990197914715615,31.0482391144245,0.0264090700002706
1,2020,2,2020-06-30 00:00:00+00:00,0.0,0.0,46749000000.0,1879000000.0,2381000000.0,2899000000.0,2010000000.0,5791000000.0,9334000000.0,31961000000.0,119731000000.0,78145000000.0,1055955711.0,0.0,3016000000.0,2010000000.0,49765000000.0,9069000000.0,797000000.0,110662000000.0,86805000000.0,2071000000.0,14702000000.0,490000000.0,87479000000.0,,152000000.0,-1766000000.0,-1604000000.0,-65000000.0,12000000.0,1953000000.0,0.0,7000000.0,-283000000.0,-470000000.0,0.0,967000000.0,349000000.0,-677000000.0,0.0,0.0,4620000000.0,4000000.0,621000000.0,1022000000.0,1058000000.0,621000000.0,444000000.0,5000000.0,2080000000.0,1063000000.0,0.58,0.58,612000000.0,2540000000.0,5000000.0,1058000000.0,616000000.0,2032000000.0,1065000000.0,0.0,5.0,-0.0937622597096901,0.45021645021645,0.971609170773516,32252000000.0,0.45021645021645,4.37518349668739,-0.325581395348837,1.46268890209943,0.101611118522762,30.5429476483034,0.0272661800814532
2,2020,1,2020-03-31 00:00:00+00:00,0.0,0.0,45845000000.0,2164000000.0,2215000000.0,2923000000.0,2181000000.0,5803000000.0,9553000000.0,31916000000.0,118852000000.0,77092000000.0,1054228409.0,0.0,3749000000.0,2181000000.0,49594000000.0,9430000000.0,798000000.0,109422000000.0,85735000000.0,1951000000.0,14715000000.0,491000000.0,86645000000.0,,952000000.0,-889000000.0,-1701000000.0,879000000.0,72000000.0,894000000.0,0.0,52000000.0,190000000.0,185000000.0,0.0,949000000.0,-807000000.0,-655000000.0,0.0,0.0,5018000000.0,4000000.0,1017000000.0,857000000.0,1057000000.0,841000000.0,456000000.0,145000000.0,2081000000.0,1067000000.0,0.81,0.82,868000000.0,2937000000.0,-31000000.0,1224000000.0,872000000.0,2422000000.0,1473000000.0,0.0,6.0,-0.0728011825572801,0.414707054603428,0.987124463519313,32207000000.0,0.414707054603428,4.75987931757586,-0.592039800995025,1.43642687053515,0.111345450524104,30.5503055363024,0.0299908512584839
3,2019,4,2019-12-31 00:00:00+00:00,0.0,0.0,43413000000.0,1975000000.0,2388000000.0,3409000000.0,2091000000.0,5816000000.0,12546000000.0,31759000000.0,118700000000.0,74104000000.0,1048733989.0,0.0,5273000000.0,2091000000.0,48686000000.0,9817000000.0,798000000.0,108883000000.0,84880000000.0,2557000000.0,14625000000.0,496000000.0,86650000000.0,,865000000.0,-2319000000.0,-2175000000.0,82000000.0,20000000.0,900000000.0,0.0,221000000.0,-957000000.0,462000000.0,-148000000.0,817000000.0,-1275000000.0,-651000000.0,0.0,0.0,4914000000.0,4000000.0,371000000.0,811000000.0,1055000000.0,409000000.0,442000000.0,-74000000.0,1444000000.0,1063000000.0,0.41,0.41,441000000.0,3470000000.0,-36000000.0,633000000.0,445000000.0,1630000000.0,813000000.0,0.0,7.0,-0.0792580101180439,0.293854293854294,0.782480471863542,32050000000.0,0.293854293854294,4.68564960375285,0.576923076923077,1.36695110047546,0.151234764852275,30.560657265014,0.0407519333525343
5,2019,3,2019-09-30 00:00:00+00:00,0.0,0.0,43699000000.0,2931000000.0,2324000000.0,3385000000.0,2339000000.0,5830000000.0,10534000000.0,31791000000.0,117591000000.0,74975000000.0,1045231646.0,0.0,4084000000.0,2339000000.0,47783000000.0,9917000000.0,796000000.0,107674000000.0,83531000000.0,2266000000.0,14961000000.0,494000000.0,85509000000.0,,1835000000.0,-2075000000.0,-1958000000.0,-46000000.0,12000000.0,2368000000.0,0.0,171000000.0,1549000000.0,1256000000.0,0.0,891000000.0,410000000.0,-650000000.0,0.0,0.0,5995000000.0,4000000.0,1687000000.0,870000000.0,1048000000.0,1345000000.0,434000000.0,367000000.0,2877000000.0,1057000000.0,1.25,1.26,1316000000.0,3118000000.0,25000000.0,2007000000.0,1320000000.0,3012000000.0,2121000000.0,0.0,8.0,-0.0266276993018347,0.479899916597164,0.941427757736852,32082000000.0,0.479899916597164,5.73557069664154,0.105263157894737,1.37457141958416,0.149272715413215,30.6936745770899,0.0395021878533146
6,2019,2,2019-06-30 00:00:00+00:00,0.0,0.0,41384000000.0,1383000000.0,2143000000.0,3304000000.0,2370000000.0,5832000000.0,10999000000.0,31131000000.0,114867000000.0,72446000000.0,1040295732.0,0.0,4774000000.0,2370000000.0,46158000000.0,8352000000.0,794000000.0,106515000000.0,83036000000.0,2371000000.0,14786000000.0,489000000.0,83445000000.0,,186000000.0,-1452000000.0,-1767000000.0,413000000.0,11000000.0,1769000000.0,0.0,228000000.0,22000000.0,-295000000.0,0.0,772000000.0,2000000.0,-646000000.0,0.0,0.0,5098000000.0,3000000.0,1047000000.0,755000000.0,1044000000.0,931000000.0,429000000.0,145000000.0,2089000000.0,1052000000.0,0.85,0.86,899000000.0,3009000000.0,29000000.0,1334000000.0,902000000.0,2248000000.0,1476000000.0,0.0,7.0,-0.0940110183046028,0.409768536681051,0.759341758341667,31422000000.0,0.409768536681051,4.90052957364243,-6.73333333333333,1.32935016542996,0.152936907045466,30.2048725506066,0.038680577105469
7,2019,1,2019-03-31 00:00:00+00:00,0.0,0.0,42177000000.0,1361000000.0,2093000000.0,3616000000.0,2404000000.0,5869000000.0,9919000000.0,30687000000.0,114096000000.0,73199000000.0,1034564279.0,0.0,3792000000.0,2404000000.0,45969000000.0,8709000000.0,794000000.0,105387000000.0,83518000000.0,2569000000.0,15025000000.0,483000000.0,83118000000.0,,-2873000000.0,2454000000.0,-1824000000.0,4389000000.0,64000000.0,744000000.0,0.0,224000000.0,-155000000.0,-3353000000.0,0.0,851000000.0,-1080000000.0,-623000000.0,0.0,0.0,5412000000.0,4000000.0,3448000000.0,751000000.0,1038000000.0,2059000000.0,430000000.0,1360000000.0,1945000000.0,1045000000.0,1.99,2.01,2084000000.0,3467000000.0,-29000000.0,1194000000.0,2088000000.0,4729000000.0,3878000000.0,0.0,7.0,-0.150659133709981,0.359386548410939,0.87801189636052,30978000000.0,0.359386548410939,5.23118776653606,1.16129032258065,1.37442565255646,0.124613124659319,29.9430403975894,0.0296111559942393
8,2018,4,2018-12-31 00:00:00+00:00,0.0,0.0,40736000000.0,1396000000.0,2394000000.0,3944000000.0,2378000000.0,5928000000.0,14286000000.0,29039000000.0,116914000000.0,73298000000.0,1028888684.0,0.0,6113000000.0,2378000000.0,46849000000.0,9583000000.0,794000000.0,107331000000.0,80797000000.0,3436000000.0,13674000000.0,522000000.0,87584000000.0,,-156000000.0,-2260000000.0,-2249000000.0,182000000.0,17000000.0,1361000000.0,0.0,212000000.0,-372000000.0,527000000.0,-114000000.0,902000000.0,-888000000.0,-620000000.0,0.0,0.0,5337000000.0,4000000.0,133000000.0,798000000.0,1032000000.0,269000000.0,456000000.0,-149000000.0,1402000000.0,1037000000.0,0.26,0.26,278000000.0,3935000000.0,-13000000.0,604000000.0,282000000.0,1491000000.0,589000000.0,0.0,5.0,-0.0517057569296375,0.262694397601649,0.670796584068319,29330000000.0,0.262694397601649,5.18715006102643,-0.469387755102041,1.40280312682944,0.0870994248151191,28.5064851583109,0.0196567139466858
10,2018,3,2018-09-30 00:00:00+00:00,0.0,-177000000.0,41425000000.0,1847000000.0,2294000000.0,3623000000.0,2363000000.0,5989000000.0,12965000000.0,24877000000.0,111717000000.0,70363000000.0,1014136083.0,0.0,5577000000.0,2363000000.0,47002000000.0,9384000000.0,792000000.0,102333000000.0,78432000000.0,2767000000.0,13746000000.0,524000000.0,83328000000.0,9048000000.0,-2686000000.0,124000000.0,-1923000000.0,2189000000.0,25000000.0,2326000000.0,0.0,656000000.0,-126000000.0,-2576000000.0,0.0,897000000.0,403000000.0,-611000000.0,0.0,0.0,6159000000.0,4000000.0,1791000000.0,824000000.0,1023000000.0,1222000000.0,458000000.0,623000000.0,2645000000.0,1029000000.0,1.13,1.14,1164000000.0,3514000000.0,54000000.0,1821000000.0,1168000000.0,3146000000.0,2249000000.0,0.0,7.0,-0.00677310111272378,0.429452833252151,0.723794832240648,28389000000.0,0.429452833252151,6.07314945522947,0.0654205607476634,1.66519274832174,0.0989900422419644,27.9932846053758,0.0218580701730841
11,2018,2,2018-06-30 00:00:00+00:00,0.0,-188000000.0,42483000000.0,1980000000.0,2151000000.0,3527000000.0,2334000000.0,6017000000.0,14366000000.0,23636000000.0,112777000000.0,71395000000.0,1011624620.0,0.0,7218000000.0,2334000000.0,49701000000.0,11619000000.0,789000000.0,101158000000.0,77192000000.0,2647000000.0,13125000000.0,488000000.0,85761000000.0,8494000000.0,-886000000.0,-1629000000.0,-1886000000.0,348000000.0,14000000.0,1749000000.0,0.0,109000000.0,-273000000.0,-393000000.0,0.0,877000000.0,-137000000.0,-608000000.0,0.0,0.0,5627000000.0,4000000.0,-289000000.0,1843000000.0,1014000000.0,-127000000.0,470000000.0,-139000000.0,1942000000.0,1014000000.0,-0.15,-0.15,-154000000.0,3685000000.0,23000000.0,99000000.0,-150000000.0,1058000000.0,181000000.0,0.0,6.0,0.036279926335175,0.345121734494402,0.80878463037728,27016000000.0,0.345121734494402,5.56233991220973,-0.891304347826087,1.79738534438991,0.0959130736708809,26.7055580359442,0.0210741724707403
