,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,1,2020-09-26 00:00:00+00:00,21441547000.0,22741558000.0,1300011000.0,1434740000.0,0.0,4570750000.0,237528000.0,14403005000.0,0.0,10308460000.0,12433098000.0,0.0,5025904000.0,3134732000.0,54011000.0,10546598000.0,-1612386000.0,3106466000.0,7168067000.0,0.0,508535623.0,12968265000.0,4035332000.0,14273480000.0,5985532000.0,0.0,862439000.0,17095000.0,-82866000.0,-228714000.0,31933000.0,930914000.0,25834000.0,-85684000.0,-753589000.0,-68475000.0,-14391000.0,-950827000.0,207899000.0,0.0,510738760.0,216900000.0,2219845000.0,0.42,11777379000.0,216900000.0,0.0,146717000.0,0.43,1800266000.0,0.0,405455000.0,509127405.0,41838000.0,1800266000.0,258738000.0,216900000.0,9557534000.0,0.0,613354000.0,0.0,419579000.0,5.0,-0.230387822522439,0.188483787436916,1.73451196814985,1300011000.0,0.188483787436916,23.1593982158453,-0.511363636363636,9.97550405342724,-0.0122057750205273,2.55638138451512,-0.00100528105990794
1,2020,4,2020-06-27 00:00:00+00:00,21469653000.0,22628266000.0,1158613000.0,1651561000.0,0.0,4512641000.0,302121000.0,15077542000.0,0.0,10280034000.0,12348232000.0,0.0,5062183000.0,3095085000.0,89539000.0,10563008000.0,-1710881000.0,2893551000.0,6717853000.0,0.0,507617963.0,13425981000.0,3447065000.0,14751800000.0,6059427000.0,0.0,439125000.0,-9991000.0,-96319000.0,-228256000.0,41099000.0,540211000.0,-21708000.0,3811023000.0,3606067000.0,-101086000.0,3067000.0,3377122000.0,271804000.0,0.0,509205451.0,-618419000.0,1565655000.0,-1.2,8866564000.0,-618419000.0,0.0,164269000.0,-1.21,2097235000.0,0.0,-571976000.0,508296453.0,-117826000.0,2097235000.0,-736245000.0,-618419000.0,7300909000.0,0.0,-300172000.0,0.0,-531580000.0,5.0,-0.427034373553703,0.176579676185724,1.83812179278112,1158613000.0,0.176579676185724,17.4670020493345,-2.16346153846154,11.587977176158,0.105498595616502,2.28245074928525,0.0105898562201251
3,2020,3,2020-03-28 00:00:00+00:00,18403442000.0,20432332000.0,2028890000.0,934905000.0,0.0,4665318000.0,196873000.0,11501282000.0,0.0,10574557000.0,9857775000.0,0.0,5225174000.0,3697515000.0,128848000.0,11407033000.0,-1665522000.0,3656219000.0,6625009000.0,0.0,508508581.0,10566377000.0,3969004000.0,11778433000.0,2240807000.0,0.0,116466000.0,-14422000.0,-132298000.0,-228963000.0,-169510000.0,324000000.0,17298000.0,1713051000.0,1957773000.0,-207534000.0,8427000.0,1535771000.0,216477000.0,3000.0,512657657.0,-3297000.0,2564240000.0,-0.01,13698699000.0,-3297000.0,0.0,83854000.0,-0.01,2503966000.0,0.0,55074000.0,508745253.0,-25483000.0,2503966000.0,-28780000.0,-3297000.0,11134459000.0,0.0,271551000.0,0.0,60274000.0,5.0,-0.0654502767553227,0.187188579003013,1.48796401635077,2028890000.0,0.187188579003013,26.9389731301309,-1.01162790697674,5.2079595246662,0.575864428885004,3.98988350601698,0.0714038987578672
4,2020,2,2019-12-28 00:00:00+00:00,16844508000.0,19372034000.0,2527526000.0,897619000.0,0.0,4879128000.0,125594000.0,9552143000.0,0.0,10710424000.0,8661610000.0,0.0,5224925000.0,3508260000.0,330177000.0,11639727000.0,-1566329000.0,4375583000.0,6931968000.0,0.0,510226830.0,8654524000.0,4159607000.0,9912540000.0,524578000.0,0.0,370630000.0,11050000.0,-281066000.0,-199056000.0,-224689000.0,582890000.0,25258000.0,57076000.0,168097000.0,-212260000.0,-1402000.0,-255798000.0,211530000.0,-67969000.0,515517792.0,383410000.0,2828399000.0,0.74,15025042000.0,383410000.0,0.0,76762000.0,0.75,2275906000.0,0.0,553300000.0,509984743.0,93128000.0,2275906000.0,476538000.0,383410000.0,12196643000.0,0.0,764830000.0,0.0,552493000.0,8.0,0.0175633310345384,0.188245663473021,1.24951673175641,2527526000.0,0.188245663473021,29.4477693381981,0.442307692307692,3.4241087925505,0.736501111937778,4.95373008902727,0.0973497478318614
5,2020,1,2019-09-28 00:00:00+00:00,16501827000.0,18956575000.0,2454748000.0,160338000.0,0.0,4697009000.0,107973000.0,9343610000.0,0.0,10472411000.0,8484164000.0,0.0,5119596000.0,3386808000.0,275651000.0,11486833000.0,-1675430000.0,4397005000.0,6101471000.0,0.0,513176946.0,9183272000.0,4247276000.0,10400356000.0,455482000.0,0.0,753000.0,-5485000.0,-246624000.0,-200037000.0,-263997000.0,171579000.0,21386000.0,-17825000.0,549050000.0,-170826000.0,-984000.0,62705000.0,214330000.0,-74814000.0,518761456.0,453781000.0,2943370000.0,0.87,15303005000.0,453781000.0,0.0,83335000.0,0.88,2275052000.0,0.0,665206000.0,513496296.0,128090000.0,2275052000.0,581871000.0,453781000.0,12359635000.0,0.0,879536000.0,0.0,668318000.0,7.0,0.00576565175045429,0.192339347729417,1.39051123901105,2454748000.0,0.192339347729417,29.8201334243101,0.0602409638554218,3.74102433325132,0.715518393605319,4.78343389962027,0.0925834492756438
6,2019,4,2019-06-29 00:00:00+00:00,15463919000.0,17966522000.0,2502603000.0,41279000.0,0.0,4753527000.0,100493000.0,8163337000.0,0.0,9825017000.0,8141505000.0,0.0,4501705000.0,3216034000.0,189575000.0,11229679000.0,-1599729000.0,4181696000.0,6103183000.0,0.0,513975346.0,8122058000.0,4314620000.0,9360736000.0,513460000.0,0.0,741054000.0,-3058000.0,-162996000.0,-200371000.0,-113358000.0,1045982000.0,26794000.0,-17531000.0,-581417000.0,-304928000.0,-633000.0,-897459000.0,187339000.0,140793000.0,520061966.0,535766000.0,2979192000.0,1.03,15474862000.0,535766000.0,0.0,89780000.0,1.04,2258662000.0,0.0,772088000.0,514648468.0,146542000.0,2258662000.0,682308000.0,535766000.0,12495670000.0,0.0,959427000.0,0.0,720530000.0,9.0,0.0103784914846043,0.192518162682162,1.3339768773114,2502603000.0,0.192518162682162,30.1081795468065,0.209302325581395,3.24544404366174,0.692512131994445,4.86911097871998,0.0918622115932059
8,2019,3,2019-03-30 00:00:00+00:00,15838902000.0,18200799000.0,2361897000.0,542971000.0,0.0,4812487000.0,111011000.0,8677432000.0,0.0,9745250000.0,8455549000.0,0.0,4377059000.0,3344683000.0,219587000.0,10893648000.0,-1483469000.0,4328952000.0,6500158000.0,0.0,513462661.0,8134461000.0,4293468000.0,9338744000.0,521621000.0,0.0,297837000.0,-2715000.0,-362847000.0,-195843000.0,-54231000.0,447435000.0,23911000.0,-347210000.0,-164999000.0,-149598000.0,-115807000.0,-429083000.0,184183000.0,-97530000.0,519821311.0,440083000.0,2754298000.0,0.85,14658074000.0,440083000.0,0.0,94514000.0,0.86,2224713000.0,0.0,525465000.0,514185453.0,-9132000.0,2224713000.0,430951000.0,440083000.0,11903776000.0,0.0,709648000.0,0.0,529585000.0,8.0,0.0215038791584712,0.187903131066196,1.30082207232501,2361897000.0,0.187903131066196,28.5474974391565,0.365079365079365,3.44403714471884,0.656298707688135,4.59993915701691,0.0869737409440934
9,2019,2,2018-12-29 00:00:00+00:00,16026540000.0,18194176000.0,2167636000.0,792138000.0,0.0,4775912000.0,100198000.0,8811984000.0,0.0,9756393000.0,8437783000.0,0.0,4375550000.0,3310312000.0,238172000.0,10654711000.0,-1524407000.0,4147367000.0,6750170000.0,0.0,519787613.0,8019846000.0,4230215000.0,9276370000.0,744808000.0,0.0,530204000.0,-6469000.0,-117441000.0,-191987000.0,-481062000.0,646645000.0,25006000.0,-56385000.0,98382000.0,-116441000.0,0.0,-579120000.0,204786000.0,0.0,524600510.0,267380000.0,2771712000.0,0.51,14765707000.0,267380000.0,0.0,87113000.0,0.52,2319817000.0,0.0,441698000.0,517871328.0,87205000.0,2319817000.0,354585000.0,267380000.0,11993995000.0,0.0,646484000.0,0.0,451895000.0,7.0,0.0245787909508315,0.187712786119893,1.25001044418141,2167636000.0,0.187712786119893,28.4071929201591,-0.0545454545454546,3.69981214558164,0.611497064478011,4.17023404518876,0.0804749138444784
10,2019,1,2018-09-29 00:00:00+00:00,15903508000.0,18542082000.0,2638574000.0,787415000.0,0.0,4881486000.0,98364000.0,8701759000.0,0.0,9899826000.0,8642256000.0,0.0,4466903000.0,3354458000.0,409946000.0,10592490000.0,-1450843000.0,4242419000.0,6640952000.0,0.0,519774992.0,7914344000.0,4217833000.0,9262556000.0,790304000.0,0.0,170662000.0,-2435000.0,-99571000.0,-187229000.0,-120247000.0,271145000.0,29193000.0,237527000.0,378064000.0,-100483000.0,0.0,68388000.0,187627000.0,0.0,529034470.0,431042000.0,2903785000.0,0.81,15215279000.0,431042000.0,0.0,89016000.0,0.83,2275645000.0,0.0,627008000.0,520856599.0,106950000.0,2275645000.0,537992000.0,431042000.0,12311494000.0,0.0,814635000.0,0.0,628140000.0,7.0,0.0385555394164701,0.190846648293469,1.30135799807016,2638574000.0,0.190846648293469,29.272818496816,0.185714285714286,2.99947774820793,0.612028698215097,5.0763773567621,0.0813584373030162
11,2018,4,2018-06-30 00:00:00+00:00,15563447000.0,18070404000.0,2506957000.0,786505000.0,0.0,4935297000.0,147778000.0,8327270000.0,0.0,10066951000.0,8003453000.0,0.0,4521660000.0,3125413000.0,375917000.0,10348628000.0,-1409269000.0,4073723000.0,6588746000.0,0.0,520988380.0,7540765000.0,4136482000.0,8974701000.0,552325000.0,0.0,724587000.0,-12901000.0,-354355000.0,-187417000.0,-37576000.0,1034445000.0,21099000.0,-331281000.0,-775960000.0,-309858000.0,0.0,-998470000.0,201766000.0,-44497000.0,528055835.0,448928000.0,2916709000.0,0.85,15315906000.0,448928000.0,0.0,92468000.0,0.86,2232773000.0,0.0,685624000.0,521301121.0,144228000.0,2232773000.0,593156000.0,448928000.0,12399197000.0,0.0,887390000.0,0.0,683936000.0,7.0,0.0620524379474581,0.1904365957848,1.21471566820151,2506957000.0,0.1904365957848,29.3977881042184,0.508771929824561,3.00793551704317,0.611306142495225,4.81192497997748,0.0780373414934508
