,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deferredRev,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-09-30 00:00:00+00:00,14435000000.0,22882000000.0,3315000000.0,8650000000.0,-1577000000.0,5785000000.0,0.0,0.0,3688000000.0,0.0,8405000000.0,8806000000.0,6326000000.0,1715000000.0,0.0,24955000000.0,0.0,2802000000.0,0.0,7486000000.0,597591921.0,1928000000.0,1160000000.0,9202000000.0,0.0,14076000000.0,179000000.0,-146000000.0,223000000.0,865000000.0,14000000.0,0.0,41000000.0,-299000000.0,1229000000.0,1020000000.0,-232000000.0,-209000000.0,0.0,-12000000.0,798000000.0,4558000000.0,1.21,0.0,1077000000.0,723000000.0,7000000.0,1.2,946000000.0,597591921.0,758000000.0,1882000000.0,1021000000.0,2676000000.0,805000000.0,0.0,0.0,730000000.0,723000000.0,35000000.0,40000000.0,6.0,-0.0830818748742708,0.412900394910048,1.52221261884183,8447000000.0,0.412900394910048,7.62727848189902,0.0341880341880343,0.752647233789411,0.244296637036116,14.1350639176395,0.0899066617862372
2,2020,3,2020-06-30 00:00:00+00:00,13852000000.0,21730000000.0,2450000000.0,7867000000.0,-1699000000.0,5985000000.0,0.0,0.0,3565000000.0,0.0,7831000000.0,7879000000.0,5500000000.0,1426000000.0,0.0,24531000000.0,0.0,2512000000.0,0.0,7225000000.0,597475300.0,2102000000.0,1725000000.0,9112000000.0,0.0,13851000000.0,-546000000.0,-856000000.0,209000000.0,-133000000.0,26000000.0,0.0,51000000.0,-299000000.0,842000000.0,738000000.0,-145000000.0,-104000000.0,0.0,-18000000.0,495000000.0,3914000000.0,0.67,0.0,1115000000.0,399000000.0,8000000.0,0.67,934000000.0,597475300.0,450000000.0,1618000000.0,704000000.0,2296000000.0,503000000.0,0.0,0.0,407000000.0,399000000.0,51000000.0,45000000.0,5.0,-0.164389410760034,0.41338783852836,1.31645781119465,7878000000.0,0.41338783852836,6.55089842207703,-0.316326530612245,0.7023368663006,0.244859696268983,13.1854823119885,0.0921459565611073
3,2020,2,2020-03-31 00:00:00+00:00,14148000000.0,21711000000.0,2583000000.0,6208000000.0,-1903000000.0,7940000000.0,0.0,0.0,3553000000.0,0.0,7517000000.0,8032000000.0,3960000000.0,1521000000.0,0.0,24431000000.0,0.0,2641000000.0,0.0,7701000000.0,611841054.0,2058000000.0,3741000000.0,9018000000.0,0.0,13679000000.0,1755000000.0,655000000.0,211000000.0,948000000.0,-63000000.0,0.0,-38000000.0,-306000000.0,588000000.0,477000000.0,-232000000.0,-111000000.0,-813000000.0,-96000000.0,718000000.0,4162000000.0,0.85,0.0,1025000000.0,517000000.0,7000000.0,0.84,983000000.0,611841054.0,682000000.0,1750000000.0,929000000.0,2412000000.0,725000000.0,0.0,0.0,524000000.0,517000000.0,165000000.0,36000000.0,3.0,-0.0892778993435449,0.420470927438731,1.01158690176322,7563000000.0,0.420470927438731,6.80242029002519,0.0,0.52680590661168,0.262892546923404,12.3610534967469,0.102285349656134
4,2020,1,2019-12-31 00:00:00+00:00,12642000000.0,21101000000.0,1635000000.0,6302000000.0,-1576000000.0,6340000000.0,0.0,0.0,3633000000.0,0.0,8421000000.0,7196000000.0,4018000000.0,1649000000.0,0.0,24220000000.0,0.0,2726000000.0,0.0,6002000000.0,609153835.0,2064000000.0,1984000000.0,9145000000.0,0.0,13905000000.0,252000000.0,-162000000.0,211000000.0,141000000.0,10000000.0,0.0,56000000.0,-305000000.0,424000000.0,310000000.0,-131000000.0,-114000000.0,-129000000.0,0.0,455000000.0,4151000000.0,0.53,0.0,1301000000.0,326000000.0,3000000.0,0.53,1123000000.0,609153835.0,420000000.0,1759000000.0,666000000.0,2392000000.0,458000000.0,0.0,0.0,329000000.0,326000000.0,94000000.0,35000000.0,5.0,0.000964552688690556,0.42375331245483,1.13501577287066,8459000000.0,0.42375331245483,6.81437062609973,-0.283783783783784,0.477140482128013,0.255429497568882,13.8864758193634,0.103207677470055
5,2019,4,2019-09-30 00:00:00+00:00,12224000000.0,20497000000.0,1494000000.0,6248000000.0,-1722000000.0,5976000000.0,0.0,0.0,3642000000.0,0.0,8233000000.0,7139000000.0,4277000000.0,1874000000.0,0.0,24199000000.0,0.0,2985000000.0,0.0,5721000000.0,615101462.0,1880000000.0,1444000000.0,9151000000.0,0.0,13358000000.0,-434000000.0,-966000000.0,213000000.0,-109000000.0,-34000000.0,0.0,37000000.0,-300000000.0,1204000000.0,1005000000.0,-313000000.0,-199000000.0,-250000000.0,-80000000.0,859000000.0,4971000000.0,1.17,0.0,1262000000.0,717000000.0,7000000.0,1.16,1109000000.0,615101462.0,819000000.0,2128000000.0,1072000000.0,2843000000.0,866000000.0,0.0,0.0,724000000.0,717000000.0,102000000.0,40000000.0,7.0,0.0169803600654665,0.428082880708107,1.19461178045515,8273000000.0,0.428082880708107,8.08159353716509,0.193877551020408,0.519494716385279,0.273303703703704,13.4498135853886,0.110713685575053
7,2019,3,2019-06-30 00:00:00+00:00,12513000000.0,21317000000.0,1603000000.0,6295000000.0,-1016000000.0,6218000000.0,0.0,103000000.0,3614000000.0,0.0,8755000000.0,7350000000.0,4336000000.0,1785000000.0,0.0,23777000000.0,0.0,2901000000.0,0.0,6213000000.0,615026583.0,2061000000.0,1877000000.0,9235000000.0,0.0,13967000000.0,-117000000.0,-427000000.0,203000000.0,219000000.0,-16000000.0,0.0,31000000.0,-302000000.0,946000000.0,825000000.0,-284000000.0,-121000000.0,0.0,-137000000.0,802000000.0,4684000000.0,0.98,0.0,1191000000.0,604000000.0,8000000.0,0.97,1126000000.0,615026583.0,759000000.0,2001000000.0,1005000000.0,2683000000.0,810000000.0,0.0,0.0,612000000.0,604000000.0,155000000.0,43000000.0,7.0,0.0511669658886893,0.427198975234842,1.18205210678675,8804000000.0,0.427198975234842,7.61593096862937,-0.132743362831858,0.495259851513421,0.256035283194058,14.3148284047423,0.106048769935222
8,2019,2,2019-03-31 00:00:00+00:00,12499000000.0,21071000000.0,1384000000.0,5785000000.0,-928000000.0,6714000000.0,0.0,84000000.0,3615000000.0,0.0,8526000000.0,7152000000.0,3786000000.0,1730000000.0,0.0,23475000000.0,0.0,2911000000.0,0.0,6337000000.0,614619859.0,2073000000.0,2551000000.0,9210000000.0,0.0,13919000000.0,382000000.0,-96000000.0,204000000.0,136000000.0,17000000.0,0.0,59000000.0,-302000000.0,533000000.0,414000000.0,-318000000.0,-119000000.0,-214000000.0,-165000000.0,718000000.0,4570000000.0,0.85,0.0,1202000000.0,520000000.0,5000000.0,0.84,1145000000.0,614619859.0,670000000.0,1925000000.0,922000000.0,2645000000.0,723000000.0,0.0,0.0,525000000.0,520000000.0,150000000.0,48000000.0,7.0,0.0758003766478343,0.421225382932166,1.06523681858802,8572000000.0,0.421225382932166,7.43549030035491,0.118421052631579,0.44405348346235,0.271261942441826,13.946832134495,0.112361460116295
9,2019,1,2018-12-31 00:00:00+00:00,12153000000.0,20429000000.0,1248000000.0,4613000000.0,-1052000000.0,7540000000.0,0.0,138000000.0,3551000000.0,0.0,8236000000.0,6658000000.0,2641000000.0,1794000000.0,0.0,23252000000.0,0.0,2733000000.0,0.0,5961000000.0,626158598.0,1980000000.0,3320000000.0,9182000000.0,0.0,13771000000.0,1198000000.0,98000000.0,202000000.0,155000000.0,-7000000.0,0.0,-7000000.0,-305000000.0,323000000.0,168000000.0,-259000000.0,-155000000.0,-786000000.0,-73000000.0,632000000.0,4147000000.0,0.74,0.0,1127000000.0,465000000.0,2000000.0,0.74,1077000000.0,626158598.0,589000000.0,1761000000.0,834000000.0,2386000000.0,634000000.0,0.0,0.0,467000000.0,465000000.0,124000000.0,43000000.0,7.0,0.0867400419287212,0.424644321196045,0.883023872679045,8276000000.0,0.424644321196045,6.62292271198678,0.213114754098361,0.320665371539582,0.267073456934992,13.2170987133838,0.112268932433932
10,2018,4,2018-09-30 00:00:00+00:00,11400000000.0,20390000000.0,1093000000.0,5236000000.0,-1015000000.0,6164000000.0,0.0,0.0,3562000000.0,0.0,8947000000.0,6619000000.0,3137000000.0,1943000000.0,0.0,23072000000.0,0.0,3023000000.0,0.0,4760000000.0,628465551.0,1813000000.0,1623000000.0,9206000000.0,0.0,13771000000.0,-1228000000.0,-1532000000.0,201000000.0,-2318000000.0,-22000000.0,0.0,216000000.0,-305000000.0,1024000000.0,721000000.0,-1788000000.0,-303000000.0,0.0,-1455000000.0,779000000.0,4888000000.0,0.98,0.0,1275000000.0,617000000.0,5000000.0,0.97,1181000000.0,628465551.0,733000000.0,2059000000.0,980000000.0,2829000000.0,784000000.0,0.0,0.0,622000000.0,617000000.0,116000000.0,46000000.0,7.0,0.102142051860203,0.421235679214403,1.07381570408825,8990000000.0,0.421235679214403,7.77767372009862,0.256410256410256,0.350620319660221,0.257653284991667,14.3046822307051,0.109438648782911
12,2018,3,2018-06-30 00:00:00+00:00,12027000000.0,20487000000.0,3411000000.0,5073000000.0,-1092000000.0,6954000000.0,0.0,53000000.0,3260000000.0,0.0,8413000000.0,8576000000.0,3126000000.0,1647000000.0,0.0,22660000000.0,0.0,3027000000.0,0.0,5988000000.0,630090112.0,1805000000.0,2862000000.0,7902000000.0,0.0,11911000000.0,799000000.0,283000000.0,179000000.0,967000000.0,-93000000.0,0.0,0.0,-306000000.0,924000000.0,804000000.0,-147000000.0,-120000000.0,-250000000.0,2000000.0,800000000.0,4456000000.0,1.13,0.0,1135000000.0,712000000.0,7000000.0,1.12,1058000000.0,630090112.0,761000000.0,1942000000.0,979000000.0,2514000000.0,807000000.0,0.0,0.0,719000000.0,712000000.0,49000000.0,39000000.0,8.0,0.103243377073533,0.435816876122083,1.23324705205637,8460000000.0,0.435816876122083,7.07200432943788,0.765625,0.371567811719957,0.246085011185682,13.4266509486186,0.104868350079655
