,year,quarter,date,statementData.balanceSheet.investments,statementData.balanceSheet.deposits,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.incomeStatement.ebt,statementData.incomeStatement.epsDil,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,0.0,0.0,0.0,738300000.0,2052700000.0,138148321.0,765200000.0,958600000.0,2225600000.0,2628600000.0,-91500000.0,1135000000.0,3890400000.0,464500000.0,0.0,544100000.0,149200000.0,2225600000.0,2138000000.0,3196400000.0,0.0,4381000000.0,0.0,6519000000.0,0.0,2755400000.0,246300000.0,222400000.0,-23900000.0,-160000000.0,-23900000.0,65700000.0,0.0,-33300000.0,0.0,49200000.0,-166600000.0,18500000.0,31900000.0,9900000.0,218600000.0,1.17,580600000.0,138148321.0,164600000.0,1.19,238700000.0,287900000.0,1652100000.0,0.0,0.0,328300000.0,0.0,165800000.0,1071500000.0,240200000.0,54000000.0,1200000.0,164600000.0,20100000.0,340400000.0,,7.0,0.132350925291295,0.351431511409721,1.88370044052863,2628600000.0,0.351431511409721,11.9588858412546,0.56578947368421,0.846686449060336,0.199959489568564,19.0273756566321,0.0776018268501378
1,2020,2,2020-06-30 00:00:00+00:00,0.0,0.0,0.0,732300000.0,1954700000.0,137946952.0,657700000.0,958600000.0,2383400000.0,2461800000.0,-110300000.0,952800000.0,3869200000.0,398400000.0,0.0,463900000.0,152100000.0,2383400000.0,1957300000.0,3199300000.0,0.0,4375000000.0,0.0,6332300000.0,0.0,2916400000.0,274300000.0,258900000.0,-23200000.0,-190000000.0,-15400000.0,38600000.0,0.0,-33100000.0,-7800000.0,49400000.0,-219500000.0,3900000.0,5700000.0,7000000.0,153600000.0,0.83,482900000.0,137946952.0,115800000.0,0.84,175800000.0,225200000.0,1375800000.0,0.0,0.0,276200000.0,0.0,116200000.0,892900000.0,173000000.0,37800000.0,400000.0,115800000.0,22200000.0,309900000.0,,6.0,-0.0871815286624203,0.35099578427097,2.05426112510495,2463100000.0,0.35099578427097,9.97339904980285,-0.142857142857143,0.968153383702982,0.181446225784903,17.8554144494617,0.0689586779482175
2,2020,1,2020-03-31 00:00:00+00:00,0.0,0.0,399900000.0,703100000.0,1872100000.0,139971698.0,678200000.0,966900000.0,2169300000.0,2357000000.0,-123200000.0,1246100000.0,3942200000.0,359700000.0,0.0,426400000.0,157400000.0,2569200000.0,1914000000.0,3219200000.0,0.0,4386100000.0,0.0,6300100000.0,0.0,2696100000.0,-13800000.0,-40700000.0,-77000000.0,250000000.0,-26900000.0,-28500000.0,1500000.0,-33500000.0,-51600000.0,44900000.0,77300000.0,11100000.0,-131600000.0,-15000000.0,139000000.0,0.77,493200000.0,139971698.0,109100000.0,0.78,161100000.0,206000000.0,1402700000.0,0.0,0.0,313900000.0,0.0,108800000.0,909500000.0,155000000.0,29900000.0,-300000.0,109100000.0,22100000.0,338200000.0,,3.0,0.0563295428872657,0.351607613887503,1.53599229596341,2357900000.0,0.351607613887503,10.0213115940052,0.3,0.920364870598218,0.192887714663144,16.8455483050581,0.0723699862016463
3,2019,4,2019-12-31 00:00:00+00:00,0.0,0.0,399700000.0,718600000.0,1763000000.0,139151210.0,624800000.0,989800000.0,1924400000.0,2426600000.0,-72600000.0,1409300000.0,3863500000.0,387900000.0,0.0,460000000.0,157200000.0,2324100000.0,1898200000.0,3259100000.0,0.0,4393100000.0,0.0,6291300000.0,0.0,2454200000.0,283400000.0,234000000.0,-49500000.0,-165000000.0,-49400000.0,51600000.0,0.0,-30700000.0,0.0,49400000.0,-187800000.0,7600000.0,10400000.0,5500000.0,139000000.0,0.74,531800000.0,139900000.0,104100000.0,0.75,161400000.0,210800000.0,1470500000.0,0.0,0.0,312400000.0,0.0,104000000.0,938700000.0,192500000.0,34900000.0,-100000.0,104100000.0,22400000.0,339300000.0,,8.0,0.0350531428169212,0.361645698741925,1.34690981338253,2427800000.0,0.361645698741925,10.5676407700659,0.25,0.793043764938597,0.184750294086194,17.4472072502999,0.0685297209385351
5,2019,3,2019-09-30 00:00:00+00:00,0.0,0.0,399500000.0,758800000.0,1692500000.0,140019208.0,640100000.0,966200000.0,2088800000.0,2335400000.0,-75500000.0,1376600000.0,3948900000.0,336200000.0,0.0,436500000.0,160100000.0,2488300000.0,1906700000.0,3271000000.0,0.0,4378900000.0,0.0,6285600000.0,0.0,2572300000.0,241800000.0,214300000.0,-27300000.0,-65700000.0,-27500000.0,59500000.0,100000.0,-30600000.0,0.0,45300000.0,-148900000.0,8400000.0,-49200000.0,-6100000.0,144600000.0,0.75,524200000.0,140019208.0,105600000.0,0.76,168200000.0,213500000.0,1459000000.0,0.0,0.0,311300000.0,0.0,105700000.0,934800000.0,168000000.0,39000000.0,100000.0,105600000.0,23600000.0,356200000.0,,6.0,0.0566338354577056,0.359287183002056,1.38507918058986,2336700000.0,0.359287183002056,10.419998947573,0.0857142857142859,0.894407810225229,0.181486608221827,16.6884246338545,0.0663912421431672
6,2019,2,2019-06-30 00:00:00+00:00,0.0,0.0,749300000.0,741900000.0,1648100000.0,139880718.0,706200000.0,978100000.0,1812300000.0,2343500000.0,-64100000.0,1695200000.0,3998700000.0,276300000.0,0.0,476600000.0,167900000.0,2561600000.0,1916900000.0,3314900000.0,0.0,4426500000.0,0.0,6343400000.0,0.0,2303500000.0,201700000.0,174000000.0,-25500000.0,-105000000.0,-27700000.0,-5100000.0,2200000.0,-30700000.0,0.0,47400000.0,-182400000.0,7400000.0,-28800000.0,1100000.0,179000000.0,0.97,537600000.0,139880718.0,137500000.0,0.98,203500000.0,250900000.0,1507200000.0,0.0,0.0,320600000.0,0.0,137100000.0,969600000.0,202400000.0,41500000.0,-400000.0,137500000.0,24500000.0,335200000.0,,8.0,0.0547235829251225,0.356687898089172,1.13078102878716,2344700000.0,0.356687898089172,10.7748946498831,0.101123595505618,0.773330488585449,0.180995877365514,16.7621387245096,0.0657651946751511
7,2019,1,2019-03-31 00:00:00+00:00,0.0,0.0,350000000.0,737900000.0,1541400000.0,140549295.0,650100000.0,981100000.0,2318700000.0,2245500000.0,-67300000.0,1238800000.0,4042100000.0,281200000.0,0.0,442000000.0,161700000.0,2668700000.0,1848000000.0,3323700000.0,0.0,4441200000.0,0.0,6289200000.0,0.0,2803300000.0,-89700000.0,-116900000.0,-25300000.0,185000000.0,-27200000.0,18200000.0,1900000.0,-31000000.0,0.0,46500000.0,129400000.0,7100000.0,-15100000.0,3800000.0,113300000.0,0.6,458800000.0,140549295.0,84700000.0,0.6,137000000.0,183500000.0,1327900000.0,0.0,0.0,312000000.0,0.0,84500000.0,869100000.0,135600000.0,28600000.0,-200000.0,84700000.0,23700000.0,323200000.0,,3.0,0.0584249960146661,0.345507944875367,1.4917662253794,2247100000.0,0.345507944875367,9.44793070644716,0.2,1.03259853039412,0.180909986747766,15.9879848561318,0.0662172582771573
8,2018,4,2018-12-31 00:00:00+00:00,0.0,0.0,525000000.0,678900000.0,1448100000.0,141404857.0,571700000.0,813400000.0,1809000000.0,2178200000.0,-67000000.0,1492100000.0,3784600000.0,262900000.0,0.0,459000000.0,162600000.0,2334000000.0,1686100000.0,3327100000.0,0.0,4278500000.0,0.0,5964600000.0,0.0,2292500000.0,260300000.0,216700000.0,-65900000.0,-180000000.0,-43600000.0,-127200000.0,5200000.0,-28100000.0,-28700000.0,40700000.0,-314200000.0,4200000.0,-91100000.0,-7400000.0,117100000.0,0.6,501800000.0,144600000.0,85200000.0,0.6,140500000.0,181200000.0,1420700000.0,0.0,0.0,308600000.0,0.0,85300000.0,918900000.0,140100000.0,31900000.0,100000.0,85200000.0,23400000.0,361700000.0,,4.0,0.027631103074141,0.35320616597452,1.13001809530192,2180000000.0,0.35320616597452,10.0470382003922,-0.285714285714286,0.83050224956386,0.174317673378076,15.4167264565743,0.0666455690789192
10,2018,3,2018-09-30 00:00:00+00:00,0.0,0.0,525000000.0,684300000.0,1393400000.0,142419669.0,635400000.0,776300000.0,1988400000.0,2231900000.0,-45700000.0,1451600000.0,3936100000.0,389900000.0,0.0,437700000.0,149200000.0,2513400000.0,1890200000.0,3397100000.0,0.0,4279500000.0,0.0,6169700000.0,0.0,2484500000.0,206400000.0,167100000.0,-496100000.0,371200000.0,-39300000.0,52400000.0,-459600000.0,-28500000.0,0.0,37500000.0,342600000.0,9000000.0,300000.0,-500000.0,137600000.0,0.69,493900000.0,142419669.0,99800000.0,0.7,156600000.0,194100000.0,1380800000.0,0.0,0.0,305100000.0,0.0,99900000.0,886900000.0,147100000.0,37800000.0,100000.0,99800000.0,19000000.0,346800000.0,,5.0,0.0238766127836274,0.357691193511008,1.30214935243869,2233600000.0,0.357691193511008,9.69529005154478,-0.166666666666667,0.890900129934137,0.184760663583049,15.6832270126958,0.0754289103453088
11,2018,2,2018-06-30 00:00:00+00:00,0.0,0.0,350000000.0,627000000.0,1350500000.0,145922725.0,657500000.0,737600000.0,1793300000.0,2173100000.0,-53200000.0,1230500000.0,3522400000.0,345500000.0,0.0,428700000.0,156200000.0,2143300000.0,1805500000.0,3055700000.0,0.0,3891600000.0,0.0,5697100000.0,0.0,2291900000.0,189200000.0,159600000.0,-29600000.0,255000000.0,-29600000.0,101100000.0,0.0,-29000000.0,0.0,37900000.0,-51400000.0,10300000.0,-276900000.0,-7100000.0,174500000.0,0.88,524100000.0,145922725.0,129600000.0,0.89,191900000.0,229800000.0,1429000000.0,0.0,0.0,316500000.0,0.0,129700000.0,904900000.0,188600000.0,44900000.0,100000.0,129600000.0,17400000.0,335500000.0,,5.0,0.0465797568478101,0.366759972008397,1.46728971962617,2174700000.0,0.366759972008397,9.792854402904,0.0,0.825226634761401,0.191074769736502,14.9030934009764,0.0836009371409963
